pmid,title,keywords,abstract,label
34400735,A particle swarm optimization approach for predicting the number of COVID-19 deaths.,,"The rapid spread of the COVID-19 pandemic has raised huge concerns about the prospect of a major health disaster that would result in a huge number of deaths. This anxiety was largely fueled by the fact that the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), responsible for the disease, was so far unknown, and therefore an accurate prediction of the number of deaths was particularly difficult. However, this prediction is of the utmost importance for public health authorities to make the most reliable decisions and establish the necessary precautions to protect people's lives. In this paper, we present an approach for predicting the number of deaths from COVID-19. This approach requires modeling the number of infected cases using a generalized logistic function and using this function for inferring the number of deaths. An estimate of the parameters of the proposed model is obtained using a Particle Swarm Optimization algorithm (PSO) that requires iteratively solving a quadratic programming problem. In addition to the total number of deaths and number of infected cases, the model enables the estimation of the infection fatality rate (IFR). Furthermore, using some mild assumptions, we derive estimates of the number of active cases. The proposed approach was empirically assessed on official data provided by the State of Qatar. The results of our computational study show a good accuracy of the predicted number of deaths.",Epidemic Forecasting;Prevention
34397825,"Analysis and forecasting of confirmed, death, and recovered cases of COVID-19 infections in Nigeria: Implications for university administrators.",,"ABSTRACT: The coronavirus (COVID-19) disease outbreak was a public health emergency of international concern which eventually evolved into a pandemic. Nigeria was locked down in March, 2020 as the country battled to contain the spread of the disease. By August 2020, phase-by-phase easing of the lockdown was commenced and university students will soon return for academic activities. This study undertakes some epidemiological analysis of the Nigerian COVID-19 data to help the government and university administrators make informed decisions on the safety of personnel and students.The COVID-19 data on confirmed cases, deaths, and recovered were obtained from the website of the Nigerian Centre for Disease Control (NCDC) from April 2, 2020 to August 24, 2020. The infection rate, prevalence, ratio, cause-specific death rate, and case recovery rate were used to evaluate the epidemiological characteristics of the pandemic in Nigeria. Exponential smoothing was adopted in modeling the time series data and forecasting the pandemic in Nigeria up to January 31, 2021.The results indicated that the pandemic had infection rate of at most 3 infections per 1 million per day from April to August 2020. The death rate was 5 persons per 1 million during the period of study while recovery rate was 747 persons per 1000 infections. Analysis of forecast data showed steady but gradual decrease in the daily infection rate and death rate and substantial increase in the recovery rate, 975 recoveries per 1000 infections.In general, the epidemiological attributes of the pandemic from the original data and the forecast data indicated optimism in the decrease in the rate of infection and death in the future. Moreover, the infection rate, prevalence and death rate in January 2021 coincided with the predictions based on the analysis. Therefore, the Nigerian government is encouraged to allow universities in the country to reopen while university administrators set up the necessary protocols for strict adherence to safety measures.",Epidemic Forecasting;Prevention
34395949,A simple mathematical tool to forecast COVID-19 cumulative case numbers.,covid-19;epidemic forecasting;mathematical model;pandemic;sars-cov-2,"Objective: Mathematical models are known to help determine potential intervention strategies by providing an approximate idea of the transmission dynamics of infectious diseases. To develop proper responses, not only are more accurate disease spread models needed, but also those that are easy to use. Materials and methods: As of July 1, 2020, we selected the 20 countries with the highest numbers of COVID-19 cases in the world. Using the Verhulst-Pearl logistic function formula, we calculated estimates for the total number of cases for each country. We compared these estimates to the actual figures given by the WHO on the same dates. Finally, the formula was tested for longer-term reliability at t = 18 and t = 40 weeks. Results: The Verhulst-Pearl logistic function formula estimated the actual numbers precisely, with only a 0.5% discrepancy on average for the first month. For all countries in the study and the world at large, the estimates for the 40th week were usually overestimated, although the estimates for some countries were still relatively close to the actual numbers in the forecasting long term. The estimated number for the world in general was about 8 times that actually observed for the long term. Conclusions: The Verhulst-Pearl equation has the advantage of being very straightforward and applicable in clinical use for predicting the demand on hospitals in the short term of 4-6 weeks, which is usually enough time to reschedule elective procedures and free beds for new waves of the pandemic patients.",Epidemic Forecasting;Prevention
34395821,Predicting the epidemic curve of the coronavirus (SARS-CoV-2) disease (COVID-19) using artificial intelligence: An application on the first and second waves.,artificial intelligence;covid-19;epidemic curve;long short-term memory;recurrent neural networks,"Objectives: The COVID-19 pandemic is considered a major threat to global public health. The aim of our study was to use the official epidemiological data to forecast the epidemic curves (daily new cases) of the COVID-19 using Artificial Intelligence (AI)-based Recurrent Neural Networks (RNNs), then to compare and validate the predicted models with the observed data. Methods: We used publicly available datasets from the World Health Organization and Johns Hopkins University to create a training dataset, then we employed RNNs with gated recurring units (Long Short-Term Memory - LSTM units) to create two prediction models. Our proposed approach considers an ensemble-based system, which is realized by interconnecting several neural networks. To achieve the appropriate diversity, we froze some network layers that control the way how the model parameters are updated. In addition, we could provide country-specific predictions by transfer learning, and with extra feature injections from governmental constraints, better predictions in the longer term are achieved. We have calculated the Root Mean Squared Logarithmic Error (RMSLE), Root Mean Square Error (RMSE), and Mean Absolute Percentage Error (MAPE) to thoroughly compare our model predictions with the observed data. Results: We reported the predicted curves for France, Germany, Hungary, Italy, Spain, the United Kingdom, and the United States of America. The result of our study underscores that the COVID-19 pandemic is a propagated source epidemic, therefore repeated peaks on the epidemic curve are to be anticipated. Besides, the errors between the predicted and validated data and trends seem to be low. Conclusion: Our proposed model has shown satisfactory accuracy in predicting the new cases of COVID-19 in certain contexts. The influence of this pandemic is significant worldwide and has already impacted most life domains. Decision-makers must be aware, that even if strict public health measures are executed and sustained, future peaks of infections are possible. The AI-based models are useful tools for forecasting epidemics as these models can be recalculated according to the newly observed data to get a more precise forecasting.",Epidemic Forecasting;Prevention
34395184,Estimation of epidemiological parameters for COVID-19 cases using a stochastic SEIRS epidemic model with vital dynamics.,compartment disease model;covid-19;delphi model;local lagged adaptive generalized method of moments;reproduction number;stochastic disease model,"We estimate and analyze the time-dependent parameters: transmission rate, symptomatic recovery rate, immunity rate, infection noise intensities, and the effective reproduction number for the United States COVID-19 cases for the period 01/22/2020-02/25/2021 using an innovative generalized method of moments estimation scheme. We assume the disease-dynamics is described by a stochastic susceptible-exposed-infected-recovered-susceptible (SEIRS) epidemic model, where the infected class is divided into the asymptomatic infected, and symptomatic infectious classes. Stochasticity appears in the model due to fluctuations in the disease's transmission and recovery rates. The disease eradication threshold is derived from the reproduction number. The estimated parameters are used to model the disease outbreak's possible trajectories. Our analysis reveals that current interventions are having positive effects on the transmission and recovery rates. The analysis is demonstrated using the daily United States COVID-19 infection and recovered cases for the period: 01/22/2020-02/25/2021.",Epidemic Forecasting;Prevention
34395158,Propagation Analysis of COVID-19: An SIR Model-Based Investigation of the Pandemic.,covid-19;epidemic modeling;predictive model;sir model;trend analysis,"The paper investigates the spread pattern and dynamics of Covid-19 propagation based on SIR model. Using the model dynamics, an analytical estimation has been obtained for virus span, its longevity, growing pattern, etc. Experimental simulations are carried out on the data of four regions of India over a period of two months of country-wide lockdown. The analysis illustrates the effect of lockdown on the contact rate and its implication. Simulation results illustrate that there is a cut-down in effective contact rate by a considerable factor ranging from 2 to 4 for the selected regions. Further, the estimates for the vaccines to be developed, maximum range and span of the disease can be also estimated. Results portray that the SIR model is a significant tool to cast the dynamics and predictions of Covid-19 outbreak in comparison to other epidemic models. The study demonstrates the progression of real time data in accordance with the SIR model with high accuracy.",Epidemic Forecasting;Prevention
34394298,COVID-19 mortality rate prediction for India using statistical neural networks and gaussian process regression model.,covid-19;gpr;grnn;india;rbfnn;hyperparameter tuning;mortality prediction;mortality rate;regression model,"The primary purpose of this research is to identify the best COVID-19 mortality model for India using regression models and is to estimate the future COVID-19 mortality rate for India. Specifically, Statistical Neural Networks (Radial Basis Function Neural Network (RBFNN), Generalized Regression Neural Network (GRNN)), and Gaussian Process Regression (GPR) are applied to develop the COVID-19 Mortality Rate Prediction (MRP) model for India. For that purpose, there are two types of dataset used in this study: One is COVID-19 Death cases, a Time Series Data and the other is COVID-19 Confirmed Case and Death Cases where Death case is dependent variable and the Confirmed case is an independent variable. Hyperparameter optimization or tuning is used in these regression models, which is the process of identifying a set of optimal hyperparameters for any learning process with minimal error. Here, sigma (sigma) is a hyperparameter whose value is used to constrain the learning process of the above models with minimum Root Mean Squared Error (RMSE). The performance of the models is evaluated using the RMSE and 'R2 values, which shows that the GRP model performs better than the GRNN and RBFNN.",Epidemic Forecasting
34393647,Enhanced bat algorithm for COVID-19 short-term forecasting using optimized LSTM.,covid-19;gaussian distribution;gaussian inertia weight;lstm,"The highly infectious COVID-19 critically affected the world that has stuck millions of citizens in their homes to avoid possible spreading of the disease. Researchers in different fields are continually working to develop vaccines and prevention strategies. However, an accurate forecast of the outbreak can help control the pandemic until a vaccine is available. Several machine learning and deep learning-based approaches are available to forecast the confirmed cases, but they lack the optimized temporal component and nonlinearity. To enhance the current forecasting frameworks' capability, we proposed optimized long short-term memory networks (LSTM) to forecast COVID-19 cases and reduce mean absolute error. For the optimization of LSTM, we applied bat algorithm. Furthermore, to tackle the premature convergence and local minima problem of BA, we proposed an enhanced variant of BA. The proposed version utilized Gaussian adaptive inertia weight to control the individual velocity in the entire swarm. In addition, we substitute random walk with the Gaussian walk to observe the local search mechanism. The proposed LSTM examines the personal best solution with the swarm's local best and preserves the optimal solution by combining the Gaussian walk. To evaluate the optimized LSTM, we compared it with the non-optimal version of LSTM, recurrent neural network, gated recurrent units, and other recent state-of-the-art algorithms. The experimental results prove the superiority of the optimized LSTM over other recent algorithms by obtaining 99.52 % accuracy.",Epidemic Forecasting
34393475,Merits and Limitations of Mathematical Modeling and Computational Simulations in Mitigation of COVID-19 Pandemic: A Comprehensive Review.,,"Mathematical models have assisted in describing the transmission and propagation dynamics of various viral diseases like MERS, measles, SARS, and Influenza; while the advanced computational technique is utilized in the epidemiology of viral diseases to examine and estimate the influences of interventions and vaccinations. In March 2020, the World Health Organization (WHO) has declared the COVID-19 as a global pandemic and the rate of morbidity and mortality triggers unprecedented public health crises throughout the world. The mathematical models can assist in improving the interventions, key transmission parameters, public health agencies, and countermeasures to mitigate this pandemic. Besides, the mathematical models were also used to examine the characteristics of epidemiological and the understanding of the complex transmission mechanism. Our literature study found that there were still some challenges in mathematical modeling for the case of ecology, genetics, microbiology, and pathology pose; also, some aspects like political and societal issues and cultural and ethical standards are hard to be characterized. Here, the recent mathematical models about COVID-19 and their prominent features, applications, limitations, and future perspective are discussed and reviewed. This review can assist in further improvement of mathematical models that will consider the current challenges of viral diseases.",Epidemic Forecasting;Prevention
34393261,Assessing excess mortality in times of pandemics based on principal component analysis of weekly mortality data-the case of COVID-19.,covid-19 pandemic;cross-country mortality trends;demography;epidemiology;excess mortality assessment;monte carlo simulation;mortality forecasting;principal component analysis;stochasticity;time series analysis,"The COVID-19 outbreak has called for renewed attention to the need for sound statistical analyses to monitor mortality patterns and trends over time. Excess mortality has been suggested as the most appropriate indicator to measure the overall burden of the pandemic in terms of mortality. As such, excess mortality has received considerable interest since the outbreak of COVID-19 began. Previous approaches to estimate excess mortality are somewhat limited, as they do not include sufficiently long-term trends, correlations among different demographic and geographic groups, or autocorrelations in the mortality time series. This might lead to biased estimates of excess mortality, as random mortality fluctuations may be misinterpreted as excess mortality. We propose a novel approach that overcomes the named limitations and draws a more realistic picture of excess mortality. Our approach is based on an established forecasting model that is used in demography, namely, the Lee-Carter model. We illustrate our approach by using the weekly age- and sex-specific mortality data for 19 countries and the current COVID-19 pandemic as a case study. Our findings show evidence of considerable excess mortality during 2020 in Europe, which affects different countries, age, and sex groups heterogeneously. Our proposed model can be applied to future pandemics as well as to monitor excess mortality from specific causes of death.",Epidemic Forecasting
34392001,A review of mathematical model-based scenario analysis and interventions for COVID-19.,active control;covid-19;mathematical models;unified framework,"Mathematical model-based analysis has proven its potential as a critical tool in the battle against COVID-19 by enabling better understanding of the disease transmission dynamics, deeper analysis of the cost-effectiveness of various scenarios, and more accurate forecast of the trends with and without interventions. However, due to the outpouring of information and disparity between reported mathematical models, there exists a need for a more concise and unified discussion pertaining to the mathematical modeling of COVID-19 to overcome related skepticism. Towards this goal, this paper presents a review of mathematical model-based scenario analysis and interventions for COVID-19 with the main objectives of (1) including a brief overview of the existing reviews on mathematical models, (2) providing an integrated framework to unify models, (3) investigating various mitigation strategies and model parameters that reflect the effect of interventions, (4) discussing different mathematical models used to conduct scenario-based analysis, and (5) surveying active control methods used to combat COVID-19.",Epidemic Forecasting;Prevention
34386789,"Estimating Under-recognized COVID-19 Deaths, United States, March 2020-May 2021 using an Excess Mortality Modelling Approach.",covid-19;excess mortality;mortality;sars-cov-2;unrecognized deaths,"Background: In the United States, Coronavirus Disease 2019 (COVID-19) deaths are captured through the National Notifiable Disease Surveillance System and death certificates reported to the National Vital Statistics System (NVSS). However, not all COVID-19 deaths are recognized and reported because of limitations in testing, exacerbation of chronic health conditions that are listed as the cause of death, or delays in reporting. Estimating deaths may provide a more comprehensive understanding of total COVID-19-attributable deaths. Methods: We estimated COVID-19 unrecognized attributable deaths, from March 2020-April 2021, using all-cause deaths reported to NVSS by week and six age groups (0-17, 18-49, 50-64, 65-74, 75-84, and >/=85 years) for 50 states, New York City, and the District of Columbia using a linear time series regression model. Reported COVID-19 deaths were subtracted from all-cause deaths before applying the model. Weekly expected deaths, assuming no SARS-CoV-2 circulation and predicted all-cause deaths using SARS-CoV-2 weekly percent positive as a covariate were modelled by age group and including state as a random intercept. COVID-19-attributable unrecognized deaths were calculated for each state and age group by subtracting the expected all-cause deaths from the predicted deaths. Findings: We estimated that 766,611 deaths attributable to COVID-19 occurred in the United States from March 8, 2020-May 29, 2021. Of these, 184,477 (24%) deaths were not documented on death certificates. Eighty-two percent of unrecognized deaths were among persons aged >/=65 years; the proportion of unrecognized deaths were 0*24-0*31 times lower among those 0-17 years relative to all other age groups. More COVID-19-attributable deaths were not captured during the early months of the pandemic (March-May 2020) and during increases in SARS-CoV-2 activity (July 2020, November 2020-February 2021). Discussion: Estimating COVID-19-attributable unrecognized deaths provides a better understanding of the COVID-19 mortality burden and may better quantify the severity of the COVID-19 pandemic. Funding: None.",Epidemic Forecasting
34386248,"Modelling COVID-19 outbreaks in USA with distinct testing, lockdown speed and fatigue rates.",covid-19;ascertainment rate;outbreak size;testing,"Each state in the USA exhibited a unique response to the COVID-19 outbreak, along with variable levels of testing, leading to different actual case burdens in the country. In this study, via per capita testing dependent ascertainment rates, along with case and death data, we fit a minimal epidemic model for each state. We estimate infection-level responsive lockdown/self-quarantine entry and exit rates (representing government and behavioural reaction), along with the true number of cases as of 31 May 2020. Ultimately, we provide error-corrected estimates for commonly used metrics such as infection fatality ratio and overall case ascertainment for all 55 states and territories considered, along with the USA in aggregate, in order to correlate outbreak severity with first wave intervention attributes and suggest potential management strategies for future outbreaks. We observe a theoretically predicted inverse proportionality relation between outbreak size and lockdown rate, with scale dependent on the underlying reproduction number and simulations suggesting a critical population quarantine 'half-life' of 30 days independent of other model parameters.",Epidemic Forecasting;Prevention
34385538,A simple mathematical model for the evaluation of the long first wave of the COVID-19 pandemic in Brazil.,,"We propose herein a mathematical model to predict the COVID-19 evolution and evaluate the impact of governmental decisions on this evolution, attempting to explain the long duration of the pandemic in the 26 Brazilian states and their capitals well as in the Federative Unit. The prediction was performed based on the growth rate of new cases in a stable period, and the graphics plotted with the significant governmental decisions to evaluate the impact on the epidemic curve in each Brazilian state and city. Analysis of the predicted new cases was correlated with the total number of hospitalizations and deaths related to COVID-19. Because Brazil is a vast country, with high heterogeneity and complexity of the regional/local characteristics and governmental authorities among Brazilian states and cities, we individually predicted the epidemic curve based on a specific stable period with reduced or minimal interference on the growth rate of new cases. We found good accuracy, mainly in a short period (weeks). The most critical governmental decisions had a significant temporal impact on pandemic curve growth. A good relationship was found between the predicted number of new cases and the total number of inpatients and deaths related to COVID-19. In summary, we demonstrated that interventional and preventive measures directly and significantly impact the COVID-19 pandemic using a simple mathematical model. This model can easily be applied, helping, and directing health and governmental authorities to make further decisions to combat the pandemic.",Epidemic Forecasting;Prevention
34385518,Determination of critical decision points for COVID-19 measures in Japan.,,"Coronavirus disease 2019 (COVID-19) has spread throughout the world. The prediction of the number of cases has become essential to governments' ability to define policies and take countermeasures in advance. The numbers of cases have been estimated using compartment models of infectious diseases such as the susceptible-infected-removed (SIR) model and its derived models. However, the required use of hypothetical future values for parameters, such as the effective reproduction number or infection rate, increases the uncertainty of the prediction results. Here, we describe our model for forecasting future COVID-19 cases based on observed data by considering the time delay (tdelay). We used machine learning to estimate the future infection rate based on real-time mobility, temperature, and relative humidity. We then used this calculation with the susceptible-exposed-infectious-removed (SEIR) model to forecast future cases with less uncertainty. The results suggest that changes in mobility affect observed infection rates with 5-10 days of time delay. This window should be accounted for in the decision-making phase especially during periods with predicted infection surges. Our prediction model helps governments and medical institutions to take targeted early countermeasures at critical decision points regarding mobility to avoid significant levels of infection rise.",Epidemic Forecasting;Prevention
