pmid,title,keywords,abstract,labels
34413053,Youth ice hockey COVID-19 protocols and prevention of sport-related transmission.,,"OBJECTIVES: This observational study evaluated the impact of return-to-play protocols to prevent transmission of SARS-CoV-2 in a youth ice hockey programme in Virginia Beach, Virginia. METHODS: Following an outbreak of SARS-CoV-2 in November 2020, a COVID-19 Response Team evaluated the epidemiological data to identify transmission dynamics and develop enhanced protocols to prevent transmission. During the subsequent 18-week study period, incident cases were investigated to identify the likely transmission source; testing, quarantine and isolation recommendations were provided to families in accordance with Centers for Disease Control and Prevention guidelines. RESULTS: Simple but stringent protocols were implemented among 148 youth ice hockey players ages 6-18. Players were required to arrive at the rink in full gear; locker rooms were closed, building entry was limited to one parent per player, and masks were required at all times except for players on the ice. Following implementation of the enhanced protocols, more than 500 practices and games were completed with at least 15 858 athlete-hours of exposure and no within-programme COVID-19 transmission was detected despite high community incidence and sporadic household exposures. CONCLUSION: This study suggests indoor youth sports can operate safely with appropriate protocols in place, even within communities of high COVID-19 transmission, even when athletes are not yet vaccinated or wearing masks during play. Transmission appears to be more likely in congested indoor areas involving adults than on the ice during play. Protocols should be developed in collaboration with programme participants. Strong collaboration in the interest of youth sports can motivate adoption of protocols which prevent within-team transmission.",Prevention;Transmission
34411759,"The nexus between in-car aerosol concentrations, ventilation and the risk of respiratory infection.",,"We examined the trade-offs between in-car aerosol concentrations, ventilation and respiratory infection transmission under three ventilation settings: windows open (WO); windows closed with air-conditioning on ambient air mode (WC-AA); and windows closed with air-conditioning on recirculation (WC-RC). Forty-five runs, covering a total of 324 km distance on a 7.2-km looped route, were carried out three times a day (morning, afternoon, evening) to monitor aerosols (PM2.5; particulate matter < 2.5 mum and PNC; particle number concentration), CO2 and environmental conditions (temperature and relative humidity). Ideally, higher ventilation rates would give lower in-car pollutant concentrations due to dilution from outdoor air. However, in-car aerosol concentrations increased with ventilation (WO > WC-AA > WC-RC) due to the ingress of polluted outdoor air on urban routes. A clear trade-off, therefore, exists for the in-car air quality (icAQ) versus ventilation; for example, WC-RC showed the least aerosol concentrations (i.e. four-times lower compared with WO), but corresponded to elevated CO2 levels (i.e. five-times higher compared with WO) in 20 mins. We considered COVID-19 as an example of respiratory infection transmission. The probability of its transmission from an infected occupant in a five-seater car was estimated during different quanta generation rates (2-60.5 quanta hr(-1)) using the Wells-Riley model. In WO, the probability with 50%-efficient and without facemasks under normal speaking (9.4 quanta hr(-1)) varied only by upto 0.5%. It increased by 2-fold in WC-AA (<1.1%) and 10-fold in WC-RC (<5.2%) during a 20 mins trip. Therefore, a wise selection of ventilation settings is needed to balance in-car exposure in urban areas affected by outdoor air pollution and that by COVID-19 transmission. We also successfully developed and assessed the feasibility of using sensor units in static and dynamic environments to monitor icAQ and potentially infer COVID-19 transmission. Further research is required to develop automatic-alarm systems to help reduce both pollutant exposure and infection from respiratory COVID-19 transmission.",Prevention;Transmission
34406913,SARS-CoV-2 natural infection in animals: A systematic review of studies and case reports and series.,,"Background: COVID-19 pandemic is essentially a zoonotic disease. In this context, early in 2020, transmission from humans to certain animals began reporting; the number of studies has grown since.Objectives: To estimate the pooled prevalence of SARS-CoV-2 natural infection in animals and to determine differences in prevalence between countries, years, animal types and diagnostic methods (RT-PCR or serological tests).Methods: A systematic literature review with meta-analysis using eight databases. Observational studies were included but analyzed separately. We performed a random-effects model meta-analysis to calculate the pooled prevalence and 95% confidence interval (95%CI) for prevalence studies and case series.Results: After the screening, 65 reports were selected for full-text assessment and included for qualitative and quantitative analyses. A total of 24 reports assessed SARS-CoV-2 infection by RT-PCR, combining a total of 321,785 animals, yielding a pooled prevalence of 12.3% (95%CI 11.6%-13.0%). Also, a total of 17 studies additionally assessed serological response against SARS-CoV-2, including nine by ELISA, four by PRTN, one by MIA, one by immunochromatography (rest, two studies, the method was not specified), combining a total of 5,319 animals, yielding a pooled prevalence of 29.4% (95%CI 22.9%-35.9%).Conclusion: A considerable proportion of animals resulted infected by SARS-CoV-2, ranking minks among the highest value, followed by dogs and cats. Further studies in other animals are required to define the extent and importance of natural infection due to SARS-CoV-2. These findings have multiple implications for public human and animal health. One Health approach in this context is critical for prevention and control.",Diagnosis;Prevention;Transmission
34406830,Higher concentrations of bacterial enveloped virus Phi6 can protect the virus from environmental decay.,,"Phage Phi6 is an enveloped virus considered as a possible non-pathogenic surrogate for SARS-CoV-2 and other viral pathogens in transmission studies. Higher input amounts of bacteriophage Phi6 are shown to delay and protect the phage from environmental decay, both when the phage are dried in plastic tubes, and when they are stored in saline solution at 4 degrees C. By contrast, when bacteriophage Phi6 are placed in LB (Luria-Bertani) growth medium (instead of saline) prior to placement on the plastic surface, the influence of starting concentration on viral recovery is negligible. The protection is reflected in longer half-lives of the phage at higher concentrations compared to lower. Because experiments supporting the possibility of fomite transmission of SARS-CoV-2 and other viruses rely upon survival of infectious virus following inoculation of various surfaces, high initial amounts of input virus on a surface may generate artificially inflated survival times compared to realistic lower levels of virus that a subject would normally encounter. This is not only because there are extra half-lives to go through at the higher concentrations, but also because the half-lives themselves are extended at the higher virus concentrations. It is important to design surface drying experiments for pathogens with realistic levels of input virus, and to consider the role of the carrier and matrix if the results are to be clinically relevant. IMPORTANCE During the COVID-19 pandemic, a lot of attention has been paid to the environmental decay of SARS-CoV-2 due to proposed transmission of the virus via fomites. However, published experiments have commenced with very high virus titer inoculums, an experimental design not representative of real-life conditions. The study described here evaluated the impact of initial virus titer on environmental decay of an enveloped virus, using a non-pathogenic surrogate for transmission of SARS-CoV-2, enveloped bacteriophage Phi6. We establish that higher concentrations of virus can protect the virus from environmental decay, depending on conditions. This has important implications for stability studies of SARS-CoV-2 and other viruses. Our results point to a limitation in the fundamental methodology that has been used to attribute fomite transmission for almost all respiratory viruses.",Transmission
34406425,[COVID-19 with respect to occupational healthcare and public health services].,,"BACKGROUND: Healthcare personnel (HCP) have an occupation-related risk of an infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and can transmit COVID-19 to patients. The related occupational disease is the BK 3101. OBJECTIVE: The frequency of suspected claims of occupation-related SARS-CoV2 infections and confirmed claims of COVID-19 occupational diseases, reporting obligations under the German Infection Protection Act (IfSG) and mandatory notification requirements of physicians. MATERIAL AND METHODS: Selective literature search with special respect to data of accident insurance institutions regarding occupation-related SARS-CoV2 infections among HCP. RESULTS: The SARS-CoV2 pandemic also represents a challenge for occupational healthcare and the public health service. In recent months an increased number of suspected cases of an occupational disease (BK 3101) associated with COVID-19 were registered at the accident insurance institutions as well as notifications of accidents at work. The public health service handles registrations under the IfSG and coordinates the tracking of contact persons. CONCLUSION: Occupation-related SARS-CoV2 infections are a real reason for concern. The registration data of the accident insurance institutions confirm high case numbers. Preventive measures, such as wearing personal protective equipment (PPE) and COVID-19 vaccinations significantly reduce the risk of infection among HCP as well as the risk of nosocomial transmission to patients.",Prevention;Transmission
34405139,The importation and establishment of community transmission of SARS-CoV-2 during the first eight weeks of the South African COVID-19 epidemic.,,"Background: We describe the epidemiology of COVID-19 in South Africa following importation and during implementation of stringent lockdown measures. Methods: Using national surveillance data including demographics, laboratory test data, clinical presentation, risk exposures (travel history, contacts and occupation) and outcomes of persons undergoing COVID-19 testing or hospitalised with COVID-19 at sentinel surveillance sites, we generated and interpreted descriptive statistics, epidemic curves, and initial reproductive numbers (Rt). Findings: From 4 March to 30 April 2020, 271,670 SARS-CoV-2 PCR tests were performed (462 tests/100,000 persons). Of these, 7,892 (2.9%) persons tested positive (median age 37 years (interquartile range 28-49 years), 4,568 (58%) male, cumulative incidence of 13.4 cases/100,000 persons). Hospitalization records were found for 1,271 patients (692 females (54%)) of whom 186 (14.6%) died. Amongst 2,819 cases with data, 489/2819 (17.3%) travelled internationally within 14 days prior to diagnosis, mostly during March 2020 (466 (95%)). Cases diagnosed in April compared with March were younger (median age, 37 vs. 40 years), less likely female (38% vs. 53%) and resident in a more populous province (98% vs. 91%). The national initial Rt was 2.08 (95% confidence interval (CI): 1.71-2.51). Interpretation: The first eight weeks following COVID-19 importation were characterised by early predominance of imported cases and relatively low mortality and transmission rates. Despite stringent lockdown measures, the second month following importation was characterised by community transmission and increasing disease burden in more populous provinces.",Prevention;Transmission
34405082,"Wastewater aerosols produced during flushing toilets, WWTPs, and irrigation with reclaimed municipal wastewater as indirect exposure to SARS-CoV-2.",,"The detection of SARS-CoV-2 RNA in raw and treated wastewater can open up a fresh perspective to waterborne and aerosolized wastewater as a new transmission route of SARS-CoV-2 RNA during the current pandemic. The aim of this paper is to discuss the potential transmission of SARS-CoV-2 RNA from wastewater aerosols formed during toilet flushing, plumbing failure, wastewater treatment plants, and municipal wastewater reuse for irrigation. Moreover, how these aerosols might increase the risk of exposure to this novel coronavirus (SARS-CoV-2 RNA). This article supplies a review of the literature on the presence of SARS-CoV-2 RNA in untreated wastewater, as well as the fate and stability of SARS-CoV-2 RNA in wastewater. We also reviewed the existing literatures on generation and transmission of aerosolized wastewater through flush a toilet, house's plumbing networks, WWTPs, wastewater reuse for irrigation of agricultural areas. Finally, the article briefly studies the potential risk of infection with exposure to the fecal bioaerosols of SARS-CoV-2 RNA for the people who might be exposed through flushing toilets or faulty building plumbing systems, operators/workers in wastewater treatment plants, and workers of fields irrigated with treated wastewater - based on current knowledge. Although this review highlights the indirect transmission of SARS-CoV-2 RNA through wastewater aerosols, no research has yet clearly demonstrated the role of aerosolized wastewater in disease transmission regarding the continuation of this pandemic. Therefore, there is a need for additional studies on wastewater aerosols in transmission of COVID-19.",Prevention;Transmission
34404780,High COVID-19 transmission potential associated with re-opening universities can be mitigated with layered interventions.,,"Controlling COVID-19 transmission in universities poses challenges due to the complex social networks and potential for asymptomatic spread. We developed a stochastic transmission model based on realistic mixing patterns and evaluated alternative mitigation strategies. We predict, for plausible model parameters, that if asymptomatic cases are half as infectious as symptomatic cases, then 15% (98% Prediction Interval: 6-35%) of students could be infected during the first term without additional control measures. First year students are the main drivers of transmission with the highest infection rates, largely due to communal residences. In isolation, reducing face-to-face teaching is the most effective intervention considered, however layering multiple interventions could reduce infection rates by 75%. Fortnightly or more frequent mass testing is required to impact transmission and was not the most effective option considered. Our findings suggest that additional outbreak control measures should be considered for university settings.",Prevention;Transmission
34404778,SARS-CoV-2 disease severity and transmission efficiency is increased for airborne compared to fomite exposure in Syrian hamsters.,,"Transmission of SARS-CoV-2 is driven by contact, fomite, and airborne transmission. The relative contribution of different transmission routes remains subject to debate. Here, we show Syrian hamsters are susceptible to SARS-CoV-2 infection through intranasal, aerosol and fomite exposure. Different routes of exposure present with distinct disease manifestations. Intranasal and aerosol inoculation causes severe respiratory pathology, higher virus loads and increased weight loss. In contrast, fomite exposure leads to milder disease manifestation characterized by an anti-inflammatory immune state and delayed shedding pattern. Whereas the overall magnitude of respiratory virus shedding is not linked to disease severity, the onset of shedding is. Early shedding is linked to an increase in disease severity. Airborne transmission is more efficient than fomite transmission and dependent on the direction of the airflow. Carefully characterized SARS-CoV-2 transmission models will be crucial to assess potential changes in transmission and pathogenic potential in the light of the ongoing SARS-CoV-2 evolution.",Transmission
34404734,The animal origin of SARS-CoV-2.,,Trading of animals susceptible to bat coronaviruses is the likely cause of the COVID-19 pandemic.,Transmission
34404718,Do school closures and school reopenings affect community transmission of COVID-19? A systematic review of observational studies.,,"OBJECTIVES: To systematically reivew the observational evidence of the effect of school closures and school reopenings on SARS-CoV-2 community transmission. SETTING: Schools (including early years settings, primary schools and secondary schools). INTERVENTION: School closures and reopenings. OUTCOME MEASURE: Community transmission of SARS-CoV-2 (including any measure of community infections rate, hospital admissions or mortality attributed to COVID-19). METHODS: On 7 January 2021, we searched PubMed, Web of Science, Scopus, CINAHL, the WHO Global COVID-19 Research Database, ERIC, the British Education Index, the Australian Education Index and Google, searching title and abstracts for terms related to SARS-CoV-2 AND terms related to schools or non-pharmaceutical interventions (NPIs). We used the Cochrane Risk of Bias In Non-randomised Studies of Interventions tool to evaluate bias. RESULTS: We identified 7474 articles, of which 40 were included, with data from 150 countries. Of these, 32 studies assessed school closures and 11 examined reopenings. There was substantial heterogeneity between school closure studies, with half of the studies at lower risk of bias reporting reduced community transmission by up to 60% and half reporting null findings. The majority (n=3 out of 4) of school reopening studies at lower risk of bias reported no associated increases in transmission. CONCLUSIONS: School closure studies were at risk of confounding and collinearity from other non-pharmacological interventions implemented around the same time as school closures, and the effectiveness of closures remains uncertain. School reopenings, in areas of low transmission and with appropriate mitigation measures, were generally not accompanied by increasing community transmission. With such varied evidence on effectiveness, and the harmful effects, policymakers should take a measured approach before implementing school closures; and should look to reopen schools in times of low transmission, with appropriate mitigation measures.",Prevention;Transmission
34404155,[Distribution and infectious characteristics of re-positive cases infected with SARS-CoV-2].,,"Domestic and foreign literatures related to the persistence of SARS-CoV-2 and the re-positive cases infected with SARS-CoV-2 were reviewed, and the characteristics and infectivity of the re-positive cases were analyzed to provide scientific evidence for the improvement of case management and the development of measures to stop the spread of SARS-CoV-2. Existing studies have shown that re-positive rate of SARS-CoV-2 ranged from 2.4% to 19.8%, the median of interval between re-positive detection and discharge was 4-15 days. Following the second course of the disease, the anti-SARS-CoV-2 IgM, IgG and IgA positive rates of the cases were 11.11%-86.08%, 52.00%-100.00% and 61.54%-100.00% respectively, the total antibody and neutralizing antibody positive rates were 98.72% and 88.46%. The viral load of the re-positive cases was lower than that of in the initial infection. At least 3380 re-positive cases have been reported globally. SARS-CoV-2 strains were isolated from the samples of 3 re-positive cases (1 immunodeficiency case and 2 cases with abnormal pulmonary imaging). There were close contacts that were infected by an asymptomatic case taking immunosuppressive agents. In conclusion, the infectivity of re-positive cases infected with SARS-CoV-2 is generally very low. Rare re-positive cases infected with SARS-CoV-2 might cause further transmission. The management approach for the re-positive cases can be based on the assessment of the individual transmission risk according to the pathogen detection results.",Diagnosis;Transmission
34404118,Natural infection of Delta mutant of SARS-CoV-2 in Asiatic Lions of India.,,"The current pandemic caused by a novel coronavirus (SARS-CoV-2) has underlined the importance of emerging diseases of zoonotic importance. Along with human beings, several species of wild and pet animals have been demonstrated to be infected by SARS-CoV-2, both naturally and experimentally. In addition, with constant emergence of new variants, the species susceptibility might further change which warrants intensified screening efforts. India is a vast and second most populated country, with a habitat of a very diverse range of animal species. In this study we place on record of SARS-CoV-2 infections in three captive Asiatic lions. Detailed genomic characterization revealed involvement of Delta mutant (Pango lineage B.1.617.2) of SARS-CoV-2 at two different locations. Interestingly, no other feline species enclosed in the zoo/park were found infected. The epidemiological and molecular analysis will contribute to the understanding of the emerging mutants of SARS-CoV-2 in wild and domestic animals. This article is protected by copyright. All rights reserved.",Mechanism;Transmission
34403765,Air dispersal of multidrug-resistant Acinetobacter baumannii: implication in nosocomial transmission during COVID-19 pandemic.,,"We described the nosocomial transmission of multidrug-resistant Acinetobacter baumannii (MRAB) in an open-cubicle neurology ward with low ceiling height, where MRAB isolates collected in air, commonly shared items, non-reachable high-level surfaces and patients were analyzed epidemiologically and genetically by whole genome sequencing (WGS), which is the first study to understand the genetic relatedness of air, environmental, and clinical isolates of MRAB in the outbreak setting. Of 11 highly care dependent patients with 363 MRAB colonization-day during COVID-19 pandemic, ten (90.9%) and 9 (81.8%) had cutaneous and gastrointestinal colonization respectively. Of 160 environmental and air samples, 31 (19.4%) were MRAB-positive. The proportion of MRAB-contaminated commonly shared items was significantly lower in cohort than in non-cohort patient care (0/10,0% vs 12/18,66.7%;p<0.001). Air dispersal of MRAB was consistently detected during but not before diaper change in the cohort cubicle by 25-minute air sampling (4/4,100% vs 0/4,0%;p=0.029). Settle plate method revealed MRAB in 2 samples during diaper change. The proportion of MRAB-contaminated exhaust air grills was significantly higher when the cohort cubicle was occupied by 6 MRAB patients than when <6 patients were cared in the cubicle (5/9,55.6% vs 0/18,0%;p=0.002). The proportion of MRAB-contaminated non-reachable high-level surfaces was also significantly higher when there were >/=3 MRAB patients in the cohort cubicle (8/31,25.8% vs 0/24,0%;p=0.016). WGS revealed clonality of air, environment, and patients' isolates, suggestive of air dispersal of MRAB. Our findings support the view that that patient cohorting in enclosed cubicles with partition and closed door is preferred if single room is not available.",Prevention;Transmission
