title,Case Report,Diagnosis,Epidemic Forecasting,Mechanism,Prevention,Transmission,Treatment
sarscov2 host cell receptor ace2 correlates positively immunotherapy response potential protective factor cancer progression,0,0,0,1,0,0,1
triage scarce critical care resources covid19 implementation guide regional allocation expert panel report task force mass critical care american college chest physicians,0,0,0,0,1,0,0
covid19 need rational use face masks nigeria,0,0,0,0,1,0,0
correlation clinical features viral rna shedding outpatients covid19,0,1,0,0,0,0,0
typical radiological progression clinical features patients coronavirus disease 2019,0,1,0,0,0,0,1
silico structure modelling sarscov2 nsp13 helicase nsp14 repurposing fda approved antiviral drugs dual inhibitors,0,0,0,1,0,0,1
effectiveness nonpharmaceutical public health interventions covid19 protocol systematic review realist review,0,0,0,0,1,0,0
ramping delivery cardiac surgery covid19 pandemic guidance statement society thoracic surgeons covid19 task force,0,0,0,0,1,0,0
construction time cost testing data prefabricated isolation medical unit covid19,0,0,0,0,1,0,0
validity serological diagnostic kit sarscov2 available iran,0,1,0,0,0,0,0
oligodendrocytes survive acute coronavirus infection induce prolonged inflammatory responses cns,0,0,0,1,0,0,0
chinese herbal huogu formula treatment steroidassociated osteonecrosis femoral head 14year followup convalescent sars patients,0,0,0,0,0,0,1
effects weather coronavirus pandemic,0,0,0,0,1,0,0
perplexing question trained immunity vs adaptive memory covid19,0,0,0,0,0,0,1
prevalence recovery olfactory gustatory dysfunctions covid19 infection prospective multicenter study,0,1,0,0,0,0,0
hands covid19 change medical practice,0,0,0,0,1,0,0
improving impact nonpharmaceutical interventions covid19 examining factors influence engagement impact individuals,0,0,0,0,1,0,0
novel coronavirus disease covid19 biologic therapy psoriasis infection risk patient counseling uncertain times,0,0,0,0,0,0,1
novel coronavirus disease2019 covid19 mechanism action detection recent therapeutic strategies,0,1,0,1,0,0,1
eye care intensive care unit covid19 pandemic,0,0,0,0,1,0,1
covid19 chloroquine repurposing cardiac safety concern chirality might help,0,0,0,0,0,0,1
immunoregulation mtor inhibitors prevent covid19 severity novel intervention strategy beyond vaccines specific antiviral medicines,0,0,0,1,0,0,1
evaluation biometric monitoring technologies vital signs era covid19,0,0,0,0,1,0,0
sarscov2 dengue virus coinfection case report,1,0,0,0,0,0,0
seroprevalence immunoglobulin g antibodies sarscov2 china,0,0,0,0,1,0,0
urological surgery covid19 era patient counselling informed consent,0,0,0,0,1,0,0
note effects epidemic forecasts epidemic dynamics,0,0,1,0,1,0,0
sarscov2 vaccine research development conventional vaccines biomimetic nanotechnology strategies,0,0,0,0,0,0,1
novel coronavirus covid2019 outbreak amplification public health consequences media exposure,0,0,0,0,1,0,0
covid19 pandemia inherited cardiomyopathies channelopathies short term long term perspective,0,0,0,0,1,0,0
role vitamin kdependent factors protein gas6 tam receptors sarscov2 infection covid19associated immunothrombosis,0,0,0,1,0,0,1
addendum s3guidelines crohns disease ulcerative colitis management patients inflammatory bowel disease covid19 pandemic open questions answers,0,0,0,0,1,0,0
,0,1,0,0,1,0,0
dental autopsy recommendations sarscov2 infected cases,0,0,0,0,1,0,0
proposals managing patients thoracic malignancies covid19 pandemic,0,0,0,0,1,0,0
effect concomitant covid19 infection outcomes patients hospitalized heart failure,0,1,0,0,0,0,1
clozapine strongly associated risk pneumonia inflammation,0,1,0,0,0,0,0
lung cancer covid19 pandemic recommendations brazilian thoracic oncology group,0,0,0,0,1,0,0
vitamin insufficiency deficiency mortality respiratory diseases cohort older adults potential limiting death toll beyond covid19 pandemic,0,0,0,0,1,0,1
first expert elicitation knowledge drivers emergence covid19 pets,0,0,0,0,1,0,0
covid19 infection among healthcare workers serological findings supporting routine testing,0,1,0,0,1,1,0
practical tips ambulatory care covid19 lessons learned new york health system,0,0,0,0,1,0,0
prevention program covid19 childrens digestive endoscopy center,0,0,0,0,1,0,0
challenges intensive care anesthesiology related covid19 pandemic practical considerations,0,0,0,0,1,0,1
validation performance comparison three sarscov2 antibody assays,0,1,0,0,0,0,0
novel betacoronavirus sarscov2 current future aspects pharmacological treatments,0,0,0,0,0,0,1
profiling initial available sarscov2 sequences iranian related covid19 patients,0,0,0,1,0,0,1
hydroxychloroquine maintenance immunosuppression use kidney transplant recipients analysis linked us registry claims data,0,0,0,0,0,0,1
progression confirmed covid19 cases implementation control measures,0,0,0,0,1,0,0
occupational covid19 risk dental staff working public dental unit outbreak epicenter,0,0,0,0,1,0,0
covid19 current developments opportunities drug delivery therapeutics,0,0,0,0,0,0,1
,0,1,0,0,0,0,0
sarscov sarscov2 safety broadspectrum important coronavirus vaccine development,0,0,0,0,0,0,1
telehealth response covid19 pandemic implications rural health disparities,0,0,0,0,1,0,0
early impact covid19 social distancing measures reported sexual behaviour hiv preexposure prophylaxis users wales,0,0,0,0,1,0,0
change dermatological practice covid19 outbreak resolves,0,0,0,0,1,0,0
coagulation disorders coronavirus infected patients covid19 sarscov1 merscov lessons past,0,1,0,0,0,0,0
increased expression cd8 marker tcells covid19 patients,0,0,0,1,0,0,0
physical activity screen time emotional wellbeing 2019 novel coronavirus outbreak china,0,0,0,0,1,0,0
alert cytokine storm immunopathology covid19,0,1,0,0,0,0,0
impact covid19 pandemic orthopaedic resident education nationwide survey study south korea,0,0,0,0,1,0,0
covid19 substance use disorders recommendations comprehensive healthcare response international society addiction medicine practice policy interest group position paper,0,0,0,0,1,0,1
metabolic syndrome viral pathogenesis lessons influenza coronaviruses,0,0,0,1,0,0,1
commercial airline protocol covid19 pandemic experience thai airways international,0,0,0,0,1,0,0
covid19 6 million cases worldwide overview diagnosis brazil tragedy announced,0,0,0,0,1,0,0
medical mask versus cotton mask preventing respiratory droplet transmission micro environments,0,0,0,0,1,0,0
coronavirus disease 2019 catheterization laboratory survey,0,0,0,0,1,0,0
novel coronavirus polymerase nucleotidyltransferase structures potential target new outbreaks,0,0,0,1,0,0,1
,0,0,0,0,1,0,0
comparative antiviral efficacy viral protease inhibitors novel sarscov2 vitro,0,0,0,1,0,0,1
rational use tocilizumab treatment novel coronavirus pneumonia,0,0,0,1,0,0,1
extracorporeal membrane oxygenation treatment severe covid19 infection case report,1,0,0,0,0,0,0
massive cutback orthopaedic healthcare services due covid19 pandemic,0,0,0,0,1,0,0
role pediatric cardiologist covid19 pandemic,0,1,0,0,0,0,1
anesthesia covid19 know,0,1,0,0,1,0,1
association cardiac injury outcomes hospitalized patients covid19,0,1,0,0,0,0,1
inference longitudinal laboratory tests characterizes temporal evolution covid19associated coagulopathy cac,0,1,0,0,0,0,0
,0,0,1,0,0,0,0
lower prevalence antibodies neutralizing sarscov2 group french blood donors,0,1,0,0,0,0,0
checkpoint inhibitors compromise cancer patients immunity increase vulnerability covid19 infection,0,0,0,0,0,0,1
prominent changes blood coagulation patients sarscov2 infection,0,0,0,1,0,0,0
integrated control covid19 resourcepoor countries,0,0,0,0,1,0,0
,0,1,0,0,0,0,1
clinical management lung cancer patients outbreak covid19 epidemic,0,0,0,0,1,0,1
first cases coronavirus disease 2019 covid19 france surveillance investigations control measures january 2020,1,0,0,0,0,0,0
,0,0,0,1,1,0,0
cytokine storm covid19 overview involvement chemokinechemokinereceptor system,0,0,0,1,0,0,1
predicting covid19 pneumonia severity chest xray deep learning,0,1,0,0,0,0,0
spinal surgery covid19 pandemic era one trauma hub center experience centralsouthern italy,0,0,0,0,1,0,0
covid19 avoiding ibuprofen good evidence,0,0,0,1,0,0,1
mask mask covid19 public health market study,0,0,0,0,1,0,0
syncope brugada syndrome covid19 lung disease,1,0,0,0,0,0,0
rethinking essential nonessential developmental paediatricians covid19 response,0,0,0,0,1,0,0
clinical management adult coronavirus infection disease 2019 covid19 positive setting low medium intensity care short practical review,0,0,0,0,0,0,1
revisiting hydroxychloroquine chloroquine patients chronic immunitymediated inflammatory rheumatic diseases,0,0,0,0,0,0,1
opportunity periodic monitoring covid19 patients asymptomatic virus carriers postinfectious individuals igmigg rapid antibody tests among healthcare workers sarscov2 pandemic,0,1,0,0,0,0,0
jak inhibition new treatment strategy patients covid19,0,0,0,1,0,0,1
sarscov2 transmission dynamics inform policy,0,0,0,0,1,1,0
sterilization plan used metered dose inhalers mdi avoid wastage amid covid19 pandemic drug shortage,0,0,0,0,0,0,1
covid19 patient accidental druginduced neutropenia,1,0,0,0,0,0,0
differences sarscov2 recommendations major ophthalmology societies worldwide,0,0,0,0,1,0,0
angiotensinconverting enzyme inhibitors angiotensinreceptor blockers risk covid19 infection severe disease systematic review metaanalysis,0,0,0,1,0,0,1
clinical features diagnostics outcomes patients presenting acute respiratory illness retrospective cohort study patients without covid19,0,1,0,0,0,0,1
hepatitis susceptibility parallels high covid19 mortality,0,0,0,0,0,0,1
comprehensive mapping druggable cavities within sarscov2 therapeutically relevant proteins combining pocket docking searches implemented pockets 20,0,0,0,1,0,0,1
try sarscov2 helicase inhibitors covid19 therapy,0,0,0,1,0,0,1
hydroxychloroquine chloroquine prescribing patterns provider specialty following initial reports potential benefit covid19 treatment united states januaryjune 2020,0,0,0,0,0,0,1
transcription factormediated signaling pathways contribution pathology acute lung injury acute respiratory distress syndrome,0,0,0,1,0,0,1
twitter social mobility index measuring social distancing practices geolocated tweets,0,0,0,0,1,0,0
recommendations treatment nail psoriasis covid19 pandemic,0,0,0,0,1,0,0
sarscov2 influenza comparative overview treatment implications,0,0,0,1,0,0,1
covid19 pathogenesis genetic polymorphism clinical features laboratory findings,0,1,0,1,0,0,0
mathematical model guide reopening economies covid19 pandemic,0,0,1,0,1,0,0
ddpcr accurate tool sarscov2 detection low viral load specimens,0,1,0,0,0,0,0
kawasakilike disease children covid19 hypothesis,0,0,0,1,0,0,1
persistence serum saliva antibody responses sarscov2 spike antigens covid19 patients,0,1,0,0,0,0,0
consumer reported care deferrals due covid19 pandemic role potential telemedicine crosssectional analysis,0,0,0,0,1,0,0
impact covid19 pandemic residency fellowship training programs saudi arabia nationwide crosssectional study,0,0,0,0,1,0,0
racial disparities covid19 mortality among essential workers united states,0,0,0,0,1,0,0
chinese therapeutic strategy fighting covid19 potential smallmolecule inhibitors severe acute respiratory syndrome coronavirus 2 sarscov2,0,0,0,0,0,0,1
neurological complications associated bloodbrain barrier damage induced inflammatory response sarscov2 infection,0,0,0,1,0,0,1
attitudes health professionals towards response covid19 pandemic maghreb,0,0,0,0,1,0,0
massively multiplexed nucleic acid detection cas13,0,1,0,0,0,0,0
potential ocular transmission sarscov2 review,0,0,0,1,0,1,0
providing essential clinical care noncovid19 patients seoul metropolitan acute care hospital amidst ongoing treatment covid19 patients,0,0,0,0,1,0,0
acute encephalopathy associated worse outcomes covid19 patients,0,1,0,0,0,0,1
retrospective study initial chest ct imaging findings 50 covid19 patients stratified gender age,0,1,0,0,0,0,0
epidemic evolution models test covid19,0,0,1,0,0,0,0
,0,0,0,0,1,0,0
obesity diabetes highrisk factors severe coronavirus disease 2019 covid19,0,1,0,0,0,0,1
pointofcare lung ultrasound findings novel coronavirus disease19 pnemoniae case report potential applications covid19 outbreak,1,0,0,0,0,0,0
risks covid19 transmission blood serum surgery prospective crosssectional study single dedicated covid19 center,0,0,0,0,1,1,0
signal amplification reversible exchange covid19 antiviral drug candidates,0,0,0,0,0,0,1
rationale multistep therapeutic approach based antivirals drugs nutrients immunomodulatory activity patients coronavirussars2induced disease different severities,0,0,0,1,0,0,1
novel intelligent computational approach model epidemiological trends assess impact nonpharmacological interventions covid19,0,0,1,0,1,0,0
sequence mismatch pcr probes may mask covid19 detection nepal,0,1,0,0,0,0,0
potential effectiveness safety antiviral agents children coronavirus disease 2019 rapid review metaanalysis,0,0,0,0,0,0,1
incidental diagnosis covid19 pneumonia chest computed tomography,1,0,0,0,0,0,0
post myocardial infarction complications covid19 pandemic case series,1,0,0,0,0,0,0
silico analysis interaction fulllength sarscov2 protein human ace2 receptor modelling docking md simulation,0,0,0,1,0,0,1
clinical characteristics drug therapies patients commontype coronavirus disease 2019 hunan china,0,1,0,0,0,0,1
clinical characteristics prognostic factors maternal neonatal outcomes sarscov2 infection among hospitalized pregnant women systematic review,0,1,0,0,0,1,1
misconceptions negative pressure rooms impact aboard usns comfort new york city,0,0,0,0,1,0,0
use simulation prepare improve responses infectious disease outbreaks like covid19 practical tips resources norway denmark uk,0,0,0,0,1,0,0
sarscov2 possible connection ers ace2 rage focus susceptibility factors,0,0,0,1,0,0,1
potential therapeutic agents associated bioassay data covid19 related human coronavirus infections,0,0,0,1,0,0,1
triaging spine surgery treatment covid19 pandemic,0,0,0,0,1,0,0
combating coronavirus pandemic early detection medical treatment concerted effort global community,0,1,0,0,0,0,1
immunopathology hyperinflammation covid19,0,0,0,1,0,0,1
thinking differently lessons learned international public health specialists supporting integrated disease surveillance response system pakistan,0,0,0,0,1,0,0
acute respiratory distress syndrome diagnosis management,0,1,0,0,0,0,1
ensemble forecast modeling design covid19 vaccine efficacy trials,0,0,1,0,0,0,1
narrative review emerging therapeutics covid19,0,0,0,0,0,0,1
surgical care thoracic malignancies covid19 pandemic mexico expert consensus guideline sociedad mexicana de oncologia smeo sociedad mexicana de cirujanos toracicos generales smctg,0,0,0,0,1,0,0
call action safely deliver oral health care post covid19 pandemic,0,0,0,0,1,0,0
coronavirus disease 2019 covid19 potential implications weak health systems conflict zones middle east north africa region,0,0,0,0,1,0,0
appbased tracking selfreported covid19 symptoms analysis questionnaire data,0,1,0,0,0,0,0
nacetycysteine potential therapeutic agent covid19 infection,0,0,0,1,0,0,1
cellular metabolic profiling crfk cells infected feline infectious peritonitis virus using phenotype microarrays,0,0,0,1,0,0,1
allocation resources development guidelines extracorporeal membrane oxygenation ecmo experience pediatric center epicenter covid19 pandemic,0,0,0,0,1,0,1
,0,0,0,0,0,0,1
covid19 pneumolysis simulating extreme highaltitude exposure altered oxygen transport physiology multiple diseases scarce need ventilators andean condorseyeview,0,1,0,0,0,0,1
systematic review metaanalysis sarscov2 stool testing potential faecaloral transmission,0,1,0,0,0,1,0
searching effective therapy coronavirus pandemic see light end tunnel,0,0,0,0,0,0,1
orthopaedic walkin clinics model lessen burden emergency departments covid19 pandemic,0,0,0,0,1,0,0
neuroinvasive potential primary respiratory pathogen sars cov2 summarizing evidences,0,0,0,1,0,0,0
covid19 cold agglutinin hemolytic anemia,1,0,0,0,0,0,0
state actions shortages personal protective equipment staff us nursing homes,0,0,0,0,1,0,0
genetic gateways covid19 infection implications risk severity outcomes,0,0,0,1,0,0,1
prevention ventricular arrhythmia sudden cardiac death covid19 patients,0,0,0,0,0,0,1
tugofwar severe acute respiratory syndrome coronavirus 2 host antiviral defence lessons pathogenic viruses,0,0,0,1,0,1,0
delays surgery cholesteatoma due covid19 impact rates recidivism major complications,0,0,0,0,1,0,0
fusion protein targeted antiviral peptides fragment based drug design fbdd guided rational design dipeptides sarscov2,0,0,0,1,0,0,1
repurposing calcium channel blockers antiviral drugs,0,0,0,0,0,0,1
intermittent demand forecasting medical consumables short life cycle using dynamic neural network covid19 epidemic,0,0,1,0,1,0,0
impact microbiota paradigm evolving herd immunity viral diseases,0,0,0,1,0,0,1
comparison clinical features covid19 vs seasonal influenza b us children,0,1,0,0,0,0,1
maternal newborn care covid19 pandemic kenya recontextualising community midwifery model,0,0,0,0,1,0,0
direct activation alternative complement pathway sarscov2 spike proteins blocked factor inhibition,0,0,0,1,0,0,1
public health information age recognizing infosphere social determinant health,0,0,0,0,1,0,0
covid19 older people rapid clinical review,0,1,0,0,1,0,1
difference coagulation features severe pneumonia induced sarscov2 nonsarscov2,0,1,0,0,0,0,0
survey panel discussion effects covid19 pandemic paediatric urological productivity guideline adherence provider stress,0,0,0,0,1,0,0
covid19 people living hiv clinical implications dynamics immune response sarscov2,1,0,0,0,0,0,0
closeup covid19 cardiovascular diseases,0,0,0,1,0,0,1
new ways working rapid exploration emerging evidence regarding care older people covid19,0,0,0,0,1,0,0
influenza respiratory syncytial virus infections oldestold continent,0,0,0,0,1,0,0
pulmonary vascular endothelial injury acute pulmonary hypertension caused covid19 fundamental cause refractory hypoxemia,1,0,0,0,0,0,0
evolutionary epidemiology sarscov2,0,0,0,1,0,0,0
allopriming universal antiviral vaccine protecting elderly current covid19 future unknown viral outbreak,0,0,0,0,0,0,1
clinical characteristics covid19 patients gastrointestinal symptoms analysis seven patients china,1,0,0,0,0,0,0
experience treating patients acute myocardial infarction covid19 epidemic,0,0,0,0,1,0,0
telehealth tinnitus therapy covid19 outbreak uk uptake related factors,0,0,0,0,1,0,0
structurebased drug designing towards identification potential antiviral covid19 targeting endoribonuclease nsp15,0,0,0,1,0,0,1
anzics guiding principles complex decision making covid19 pandemic,0,0,0,0,1,0,0
patients voice prosthesis rehabilitation covid19 pandemic analyzing effectiveness remote triage management,0,0,0,0,1,0,0
surveillance monitoring hepatocellular carcinoma covid19 pandemic,0,0,0,0,1,0,0
perioperative considerations covid19 patients lessons learned pandemic case series,0,0,0,0,1,0,0
review modern technologies tackling covid19 pandemic,0,1,0,1,1,0,0
increased complement receptor3 levels monocytes granulocytes distinguish covid19 patients pneumonia mild symptoms,0,1,0,1,0,0,1
covid19 associated coagulopathy setting underlying malignancy,1,0,0,0,0,0,0
gastrointestinal emergency care covid19 pandemic rapid communication,0,0,0,0,1,0,0
epidemiology measles covid19 pandemic description surveillance data 29 eueea countries united kingdom january may 2020,0,0,0,0,1,0,0
coronavirus antibody positive tests continued use personal protective equipment throughout pandemic,0,0,0,0,1,0,0
review studies covid19 epidemic crisis disease preventive approach,0,0,0,0,1,0,0
dental schools adequately preparing dental students face outbreaks infectious diseases covid19,0,0,0,0,1,0,0
public awareness individual prevention practice psychological effect beginning covid19 outbreak china,0,0,0,0,1,0,0
enhanced platelet inhibition treatment improves hypoxemia patients severe covid19 hypercoagulability case control proof concept study,0,0,0,0,0,0,1
novel coronavirus disease 2019 covid19 pneumonia progression course 17 discharged patients comparison clinical thinsection computed tomography features recovery,0,1,0,0,0,0,0
adverse skin reactions health care workers using personal protective equipment covid19,0,0,0,0,1,0,0
impact covid19 partial lockdown primary pollutant concentrations atmosphere rio de janeiro sao paulo megacities brazil,0,0,0,0,1,0,0
olfactory gustatory dysfunction early identifier covid19 adults children international multicenter study,0,1,0,0,0,0,0
cancer encounters covid19 china suffered experienced learned,0,0,0,0,1,0,0
digital health strategies fight covid19 worldwide challenges recommendations call papers,0,0,0,0,1,0,0
characteristics outcomes pregnant women admitted hospital confirmed sarscov2 infection uk national population based cohort study,0,1,0,0,0,1,0
health care worker sex time covid19,0,0,0,0,1,0,0
tnfalpha inhibitor may effective severe covid19 learning toxic epidermal necrolysis,0,0,0,1,0,0,1
efficacy safety herbal medicine lianhuaqingwen treating covid19 systematic review metaanalysis,0,0,0,0,0,0,1
coronavirus disease 2019 covid19 emerging future challenges dental oral medicine,0,0,0,0,1,0,0
uk consensus statement diagnosis inducible laryngeal obstruction light covid19 pandemic,0,1,0,0,1,0,0
potential implications sarscov2 epidemic africa going,0,0,0,0,1,0,0
assessment small pulmonary blood vessels covid19 patients using hrct,0,1,0,0,0,0,0
neither aceis arbs associated respiratory distress mortality covid19 results prospective study hospitalbased cohort,0,1,0,0,0,0,1
statistical issues lessons learned covid19 clinical trials lopinavirritonavir remdesivir,0,0,0,0,0,0,1
,0,0,0,0,1,0,0
repositive cases nucleic acid tests discharged patients covid19 followup study,0,1,0,0,0,0,0
food safety era covid19 pandemic,0,0,0,0,1,0,0
baseline demographics clinical characteristics among 3471 us patients hospitalized covid19 pulmonary involvement retrospective study,0,1,0,0,0,0,1
coronavirus disease 2019 initial chest ct findings,0,1,0,0,0,0,0
prevention control measures neonatal covid19 infection scoping review,0,0,0,0,1,0,0
current situation covid19 sudan,0,0,0,0,1,0,0
high levels sarscov2specific cells restricted functionality severe courses covid19,0,0,0,1,0,0,1
predict occurrence covid19 cases considerations using simple model growth,0,0,1,0,1,0,0
evaluations serological test diagnosis 2019 novel coronavirus sarscov2 infections covid19 outbreak,0,1,0,0,0,0,0
continuous positive airway pressure cpap new standard care type 1 respiratory failure covid19 patients retrospective observational study dedicated covid19 cpap service,0,0,0,0,0,0,1
serological assay detect sarscov2 seroconversion humans,0,1,0,0,0,0,0
hidden threat lurking behind alcohol sanitizers covid19 outbreak,0,0,0,0,1,0,0
albumin predictor mortality covid19,0,1,0,0,0,0,1
regional anesthesia practices turkey covid19 pandemic,0,0,0,0,1,0,0
laboratory preparedness sarscov2 testing india harnessing network virus research diagnostic laboratories,0,1,0,0,0,0,0
covid19 risk management workplace fear infection fear transmission infection among frontline employees,0,0,0,0,1,0,0
potential fast covid19 containment trehalose,0,0,0,0,1,0,1
hypofibrinolytic state high thrombin generation may play major role sarscov2 associated thrombosis,0,1,0,0,0,0,1
diabetes increases mortality patients covid19 metaanalysis,0,0,0,0,0,0,1
air filtration sarscov2,0,0,0,0,1,0,0
clinical characteristics therapeutic procedure four cases 2019 novel coronavirus pneumonia receiving combined chinese western medicine treatment,0,0,0,1,0,0,1
advances pointofcare nucleic acid extraction technologies rapid diagnosis human plant diseases,0,1,0,0,0,0,0
human angiotensinconverting enzyme 2 transgenic mice infected sarscov2 develop severe fatal respiratory disease,0,0,0,1,0,0,1
neurological complications coronavirus disease covid19 encephalopathy,1,0,0,0,0,0,0
impact coronavirus disease 2019 covid19 pandemic nosocomial clostridioides difficile infection,0,0,0,0,1,0,0
,0,1,0,1,0,0,0
,0,0,0,0,1,0,0
description comparison demographic characteristics comorbidities sari covid19 sari influenza brazilian general population,0,1,0,0,1,0,0
long term complications rehabilitation covid19 patients,0,0,0,0,1,0,0
wearable sensing telehealth technology potential applications coronavirus pandemic,0,0,0,0,1,0,0
covid19 india transmission dynamics epidemiological characteristics testing recovery effect weather,0,1,0,0,1,1,0
role virtual consultations plastic surgery covid19 lockdown,0,0,0,0,1,0,0
reducing potential aerosol generation flexible nasolaryngoscopy novel method,0,0,0,0,1,0,0
examination transmission covid19 effect response strategies comparative analysis,0,0,0,0,1,0,0
peritoneal dialysis treatment acute kidney injury case paediatric inflammatory multisystem syndrome temporally associated sarscov2,1,0,0,0,0,0,0
deep learning approach detect covid19 coronavirus xray images,0,1,0,0,0,0,0
possible application hinokitiol natural zinc ionophore antiinfective agent prevention treatment covid19 viral infections,0,0,0,0,0,0,1
observer agreement clinical significance chest ct reporting patients suspected covid19,0,1,0,0,0,0,0
,0,0,0,0,1,0,0
severe rapidly progressive guillainbarre syndrome setting acute covid19 disease,1,0,0,0,0,0,0
,0,0,0,0,1,0,0
therapeutic dilemma repression severe acute respiratory syndrome coronavirus2 proteome,0,0,0,1,0,0,1
neonatal late onset infection severe acute respiratory syndrome coronavirus 2,0,1,0,0,1,0,0
decreased mortality covid19 patients treated tocilizumab rapid systematic review metaanalysis observational studies,0,0,0,0,0,0,1
