pmid	title_e	journal
34396087	Recombinant human plasma gelsolin (rhu-pGSN) in a patient hospitalized with critical COVID-19 pneumonia.	Clin Infect Pract
34395717	"Discordant Virus-Specific Antibody Levels, Antibody Neutralization Capacity, and T-cell Responses Following 3 Doses of SARS-CoV-2 Vaccination in a Patient With Connective Tissue Disease."	Open Forum Infect Dis
34395562	Case Report: Co-occurrence of Myocarditis and Thrombotic Microangiopathy Limited to the Heart in a COVID-19 Patient.	Front Cardiovasc Med
34395561	Case Report: An Unusual Case of Biventricular Thrombosis in a COVID-19 Patient With Ischemic Dilated Cardiomyopathy: Assessment of Mass Mobility and Embolic Risk by Tissue Doppler Imaging.	Front Cardiovasc Med
34395192	Kikuchi-Fujimoto disease following SARS CoV2 vaccination: Case report.	IDCases
34395136	COVID-19 Presenting as Acute Icteric Hepatitis.	Cureus
34395127	Asystole in COVID-19 Infection: A Case Report.	Cureus
34395043	"Severe Diabetic Ketoacidosis in a Child with Type-1 Diabetes, Asthma, and COVID-19."	J Pediatr Intensive Care
34395014	Hospital-Acquired COVID-19: Case Discussions of Two Patients Treated at a Level I Trauma Center.	Case Rep Surg
34395000	Oxford-AstraZeneca Coronavirus Disease-2019 Vaccine-Induced Immune Thrombocytopenia on Day Two.	Case Rep Hematol
34394944	"Myocardial infarction post COVID-19 vaccine - coincidence, Kounis syndrome or other explanation - time will tell."	JRSM Open
34394916	Case Report: Heparin-induced thrombocytopenia during COVID-19 outbreak: the importance of scoring system in differentiating with sepsis-induced coagulopathy.	F1000Res
34394876	COVID-19 Recombinant mRNA Vaccines and Serious Ocular Inflammatory Side Effects: Real or Coincidence?	J Ophthalmic Vis Res
34394817	"An uncommon presentation of COVID-19: concomitant acute pulmonary embolism, spontaneous tension pneumothorax, pneumomediastinum and subcutaneous emphysema (a case report)."	Pan Afr Med J
34394374	Hemoptysis and Hematuria as the Initial Symptoms of COVID-19: a Case Report.	Tanaffos
34394373	COVID-19 Reinfection in a Patient with Hodgkin Lymphoma: a Case Report.	Tanaffos
34394095	Case Report: A Re-Positive Case of SARS-CoV-2 Associated With Glaucoma.	Front Immunol
34393988	Vaccine Induced Immune Thrombotic Thrombocytopenia Causing a Severe Form of Cerebral Venous Thrombosis With High Fatality Rate: A Case Series.	Front Neurol
34393520	"Distal Deep Vein Thrombosis in a Patient Cured of Severe COVID-19 Pneumonia at Jimma, Oromia, Ethiopia 2021: A Rare Case Report."	Int Med Case Rep J
34393459	Ayurvedic management of persistent hypoxia in a diabetic and hypertensive COVID-19 patient in the post-hospitalization period - A Case Report.	J Ayurveda Integr Med
34393077	Resolution of One-Year Persisting COVID-19 Pneumonia and Development of Immune Thrombocytopenia in a Follicular Lymphoma Patient With Preceding Rituximab Maintenance Therapy: A follow-up Report and Literature Review of Cases With Prolonged Infections.	Clin Lymphoma Myeloma Leuk
34393023	SARS-CoV-2-associated Henoch-Schonlein purpura in a 13-year-old girl.	Arch Pediatr
34392078	Acute myelitis and ChAdOx1 nCoV-19 vaccine: Casual or causal association?	J Neuroimmunol
34392017	Acute mesenteric arterial thrombosis in severe SARS-Co-2 patient: A case report and literature review.	Int J Surg Case Rep
34391695	Palms and soles itchiness as a side effect of COVID-19 vaccination.	J Infect Public Health
34391638	Spontaneous Pneumomediastinum in Patients Diagnosed with COVID-19: A Case Series with Review of Literature.	Acad Radiol
34391172	Repeat laboratory testing of SARS-CoV-2 is necessary to diagnose COVID-19.	J Infect Public Health
34390951	COVID-19 in Cladribine-treated patient with multiple sclerosis.	J Neuroimmunol
34390376	A case of reactivation of varicella-zoster virus after BNT162b2 vaccine second dose?	Inflamm Res
34390165	Pediatric living donor intestine transplant following an atypical complication of COVID-19: A unique case report from India.	Am J Transplant
34389601	A COVID-19 patient with recurrent acute limb ischaemia despite two successive types of therapeutic dose anticoagulation and thrombolysis.	BMJ Case Rep
34389278	"Gestational diabetes mellitus and COVID-19, clinical characteristics and review of the literature."	Prim Care Diabetes
34388982	Hemophagocytic syndrome secondary to SARS-Cov-2 infection: a case report.	BMC Infect Dis
34388842	Spontaneous Muscle Hematoma in Patients with COVID-19: A Systematic Literature Review with Description of an Additional Case Series.	Semin Thromb Hemost
34388415	Adjunctive corticosteroid treatment for organizing pneumonia in COVID-19 patients with persistent respiratory failure.	Respir Med
34388087	Bordetella hinzii Pneumonia and Bacteremia in a Patient with SARS-CoV-2 Infection.	Emerg Infect Dis
34387618	COVID-19-ASSOCIATED ACUTE DISSEMINATED ENCEPHALOMYELITIS-LIKE DISEASE IN 2 CHILDREN.	Pediatr Infect Dis J
34386580	Case Report: Severe COVID-19 in a Kidney Transplant Recipient Without Humoral Response to SARS-CoV-2 mRNA Vaccine Series.	Transplant Direct
34386543	COVID-19 induced immune thrombocytopenic purpura: case report.	Stem Cell Investig
34386166	Challenges in managing children with Autism Spectrum Disorder and COVID-19: A case report.	Malays Fam Physician
34385221	Extrahepatic portal vein thrombosis in a pregnant patient with COVID-19: a rare thrombotic event survivor.	BMJ Case Rep
34384897	SARS-CoV-2 is localized in cardiomyocytes: a post-mortem biopsy case.	Int J Infect Dis
34384886	Summary report of seven cases of COVID-19 infection in renal transplant recipients.	Transpl Immunol
34384729	Stevens-Johnson syndrome post second dose of Pfizer COVID-19 vaccine: a case report.	Oral Surg Oral Med Oral Pathol Oral Radiol
34384365	A case report of COVID-19 in a patient with non-Hodgkin's lymphoma.	BMC Infect Dis
34384351	Acute prolonged motor aura resembling ischemic stroke after COVID - 19 vaccination (CoronaVac): the first case report.	J Headache Pain
34383957	Delayed Treatment of Acute Myocardial Infarction With Ventricular Septal Rupture Due to Patient Fear During the COVID-19 Pandemic.	Tex Heart Inst J
34383621	In Vivo confocal microscopy findings after COVID-19 infection.	Ocul Immunol Inflamm
34383223	"[SARS-CoV-2-associated pneumothorax, pneumomediastinum and soft tissue emphysema. Clinical implications based on a case series]."	Wien Med Wochenschr
34382848	First known case of successful pressure ulcer treatment in a lung transplant patient with post-COVID-19 pneumonia.	J Wound Care
34382682	Findings in [99mTc]MAA SPECT/CT in the diagnosis and follow-up of pulmonary embolism after infection by SARS-CoV-2 (COVID-19).	Nucl Med Rev Cent East Eur
34382679	Incidental detection of COVID-19 associated pneumonia by thyroid scintigraphy.	Nucl Med Rev Cent East Eur
34382678	Incidental detection of COVID-19 associated pneumonia by [99mTc]UBI scintigraphy.	Nucl Med Rev Cent East Eur
34382616	Reinfection With Severe Acute Respiratory Syndrome Coronavirus 2 Without Recurrence of Multisystem Inflammatory Syndrome in Children.	Pediatr Infect Dis J
34382433	Multi-System Inflammatory Syndrome Presenting as Non-Specific Colitis: A Medical Diagnosis with a Surgical Presentation.	Am Surg
34381692	Immune thrombocytopenia associated with Pfizer-BioNTech's BNT162b2 mRNA COVID-19 vaccine.	IDCases
34381649	New-Onset Diabetes Mellitus Presenting As Diabetic Ketoacidosis in Patients With COVID-19: A Case Series.	Cureus
34381643	Third-Degree Heart Block Associated With Saddle Pulmonary Embolism: A Rare Sequelae of COVID-19-Induced Hypercoagulable State.	Cureus
34381526	"[Chronic inflammatory bowel diseases: what happens when SARS-CoV-2 occurs? Preliminary results from a study conducted at the Hassan II University Teaching Hospital in Fes, Morocco (a case report)]."	Pan Afr Med J
34381391	Postinfectious COVID-19 Catatonia: A Report of Two Cases.	Front Psychiatry
34380685	"Transient acetylcholine receptor-related myasthenia gravis, post multisystem inflammatory syndrome in children (MIS-C) temporally associated with COVID-19 infection."	BMJ Case Rep
34380677	COVID-19-related diffuse leukoencephalopathy with microbleeds and persistent coma: a case report with good clinical outcome.	BMJ Case Rep
34352418	Three cases of acute venous thromboembolism in females following vaccination for COVID-19.	J Vasc Surg Venous Lymphat Disord
34351874	Anterior Scleritis Manifesting After Coronavirus Disease 2019: A Report of Two Cases.	Cornea
34350072	A Flare of Systemic Lupus Erythematosus Disease After COVID-19 Infection: A Case of Lupus Cerebritis.	Cureus
34350003	Thromboelastometry early identifies thrombotic complications related to COVID-19: A case report.	SAGE Open Med Case Rep
34349530	A Postoperative Man with Marfan Syndrome with Palpitations and Chest Pain After Receiving the SARS-CoV-2 Vaccine.	Infect Drug Resist
34348912	Remitting seronegative symmetrical synovitis with pitting oedema following BNT162b2 mRNA COVID-19 vaccination.	BMJ Case Rep
34348657	Perimyocarditis following first dose of the mRNA-1273 SARS-CoV-2 (Moderna) vaccine in a healthy young male: a case report.	BMC Cardiovasc Disord
34347563	Electromyoneurography and laboratory findings in a case of Guillain-Barre syndrome after second dose of Pfizer COVID-19 vaccine.	Hum Vaccin Immunother
34347185	Colon perforation as a complication of COVID-19: a case report.	Surg Case Rep
34345826	Interleukin-7 Reverses Lymphopenia and Improves T-Cell Function in Coronavirus Disease 2019 Patient With Inborn Error of Toll-Like Receptor 3: A Case Report.	Crit Care Explor
34345558	A Case of COVID-19-Associated Autoimmune Hemolytic Anemia With Hyperferritinemia in an Immunocompetent Host.	Cureus
34345492	Spontaneous and rapid resolution of a massive lumbar disc herniation.	Surg Neurol Int
34345488	Severe and persistent coronavirus disease 2019 cough resulting in bone flap displacement and pseudomeningocele.	Surg Neurol Int
34345486	Ventricular empyema associated with severe pyogenic meningitis in COVID-19 adult patient: Case report.	Surg Neurol Int
34345458	Coronavirus disease 2019 infection and pituitary apoplexy: A causal relation or just a coincidence? A case report and review of the literature.	Surg Neurol Int
34345323	Simultaneous spontaneous pneumomediastinum and pneumopericardium in a critically ill patient with COVID-19.	Radiol Case Rep
34345241	Successful treatment of plasmapheresis followed by interferon beta-1a in a child with severe COVID-19.	J Res Med Sci
34345055	[Posterior reversible encephalopathy sindrome in critical COVID-19 patients: report of two cases.]	Rev Esp Anestesiol Reanim
34344659	COVID-19-associated ischaemic stroke due to underlying carotid artery thrombosis in a healthy young woman.	BMJ Case Rep
34344651	Effective use of monoclonal antibodies for treatment of persistent COVID-19 infection in a patient on rituximab.	BMJ Case Rep
34344645	Complex case of COVID-19 and infective endocarditis.	BMJ Case Rep
34344321	"Prolonged viral shedding of SARS-CoV-2 in two immunocompromised patients, a case report."	BMC Infect Dis
34344315	Fatal septic shock due to Capnocytophaga canimorsus bacteremia masquerading as COVID-19 pneumonia - a case report.	BMC Infect Dis
34344305	Kikuchi-Fujimoto disease presenting in a patient with SARS-CoV-2: a case report.	BMC Infect Dis
34344280	Bilateral Multifocal Choroiditis following COVID-19 Vaccination.	Ocul Immunol Inflamm
34342852	Coronavirus disease (COVID-19) complicated by rhino-orbital-cerebral mucormycosis presenting with neurovascular thrombosis: a case report and review of literature.	J Neurovirol
34342187	New-onset Nephrotic Syndrome after Janssen COVID-19 Vaccination: a Case Report and Literature Review.	J Korean Med Sci
34341959	The importance of thinking about Guillain-Barre syndrome during the COVID-19 pandemic: a case with pure dysautonomic presentation.	J Neurovirol
34341688	The over diagnosed COVID-19 infection in an adult patient with foreign body aspiration.	Ann Med Surg (Lond)
34341687	Acute limb ischemia with concomitant splenic and renal infarcts: Thromboembolic events revealing COVID-19.	Ann Med Surg (Lond)
34341686	Early initiation of awake venovenous extracorporeal membrane oxygenation (ECMO) in critical COVID-19 pneumonia: A case reports.	Ann Med Surg (Lond)
34341685	Covid-19 decompensating epilepsy in the elderly: A case report.	Ann Med Surg (Lond)
34341678	A case report of cerebral venous infarction due to venous sinus thrombosis as complication in a Covid-19 patient.	Radiol Case Rep
34339547	Elevated INR in a COVID-19 patient after concomitant administration of favipiravir and warfarin: A case report.	J Clin Pharm Ther
34337595	Myocarditis and pericarditis after vaccination for COVID-19.	J Am Coll Emerg Physicians Open
34337594	A case of SARS-CoV-2-associated arthritis with detection of viral RNA in synovial fluid.	J Am Coll Emerg Physicians Open
34337326	Unilateral Vocal Cord Paralysis Case Related to COVID-19.	SN Compr Clin Med
34337095	Critical Presentation of a Severe Acute Respiratory Syndrome Coronavirus 2 Reinfection: A Case Report.	Open Forum Infect Dis
34336692	Successful Chimeric Antigen Receptor (CAR) T-Cell Treatment in Aggressive Lymphoma Despite Coronavirus Disease 2019 (CoVID-19) and Prolonged Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Replication - Case Report.	Front Oncol
34336629	COVID-19 Related Acro-Ischemic Neuropathic-like Painful Lesions in Pediatric Patients: A Case Series.	Anesth Pain Med
34336628	Pulmonary Embolism and Cardiac Tamponade in Critical Care Patients with COVID-19; Telemedicine's Role in Developing Countries: Case Reports and Literature Review.	Anesth Pain Med
34336526	Subcutaneous Emphysema and Pneumomediastinum Following Non-invasive Ventilation in a Patient With Severe COVID-19 Disease.	Cureus
34336515	Uncommon Presentation of COVID-19 With Long Incubation Period and Only Gastrointestinal Symptoms in a Fully Vaccinated Patient: Is There a Relation?	Cureus
34336493	Multifocal Pneumonia Amidst the Global COVID-19 Pandemic: A Case of Daptomycin-Induced Eosinophilic Pneumonia.	Cureus
34336475	Not All Pulmonary Densifications Are COVID-19: A Case Report About Lemierre's Syndrome.	Cureus
34336468	A Case of Bordetella bronchiseptica Bacteremia in a Patient With COVID-19: Brief Report.	Cureus
34336448	A Case of Ventricular Fibrillation in Asymptomatic COVID-19.	Cureus
34336415	Mesenteric Lymphadenitis Due to COVID-19 in an Adult.	Cureus
34336414	Acute Appendicitis Associated With Multisystem Inflammatory Syndrome in Children.	Cureus
34336325	Reactivation of Acute Retinal Necrosis following SARS-CoV-2 Infection.	Case Rep Ophthalmol Med
34336319	Survival from Maternal Cardiac Arrest Complicating Coronavirus Disease 2019.	Case Rep Obstet Gynecol
34336212	New-onset guttate psoriasis secondary to COVID-19.	Clin Case Rep
34336204	Shoulder injury related to Sinovac COVID-19 vaccine: A case report.	Ann Med Surg (Lond)
34336203	Polymyositis and covid-19: A morbide association (a case report).	Ann Med Surg (Lond)
34336192	Erythema multiforme eruption due to SARS-COV 2: Case report.	Ann Med Surg (Lond)
34335016	A case series of post COVID-19 mucormycosis-a neurological prospective.	Egypt J Neurol Psychiatr Neurosurg
34334979	Integrative management of critical case of Covid 19 with Ayurveda and Modern medicine: A case report.	J Ayurveda Integr Med
34334917	Myositis in a patient with coronavirus disease 2019: A rare presentation.	Med J Armed Forces India
34334916	New-onset diabetes mellitus with COVID-19: Coincidence or cause.	Med J Armed Forces India
34334914	Clinical complications seen in patients after recovery from coronavirus disease 2019: Experience from a COVID care center.	Med J Armed Forces India
34334015	Hyperinflammation in COVID-19 Obese Patients Treated With Tocilizumab: A Successful Case Series.	J Investig Med High Impact Case Rep
34333995	Cerebral venous sinus thrombosis associated with vaccine-induced thrombotic thrombocytopenia.	Neuroradiol J
34333741	COVID-19 ARDS in two patients with left ventricular assist device.	J Artif Organs
34333508	COVID-19 and Hepatic Artery Thrombosis: A Case Report.	Am J Case Rep
34333120	Symptomatic Bradycardia in Covid-19 Hospitalized Patients: a Case Series.	Int J Infect Dis
34332512	Lung donation following SARS-CoV-2 infection.	Am J Transplant
34332438	Autoimmune hepatitis triggered by SARS-CoV-2 vaccination.	J Autoimmun
34332085	Treatment of SARS-CoV-2 Relapse with Remdesivir and Neutralizing Antibodies Cocktail in a Patient with X-Linked Agammaglobulinemia.	Int J Infect Dis
34331846	COVID-19 transmission: a positive perspective.	Horm Mol Biol Clin Investig
34330886	A 34-Year-Old Woman from Brazil with Pulmonary Lymphangioleiomyomatosis Diagnosed by Raised Serum Vascular Endothelial Growth Factor-D (VEGF-D) Levels and Lung Cysts on Computed Tomography Imaging Presenting with COVID-19 Pneumonia.	Am J Case Rep
34330729	Guillain-Barre syndrome after COVID-19 vaccination.	BMJ Case Rep
34330722	Immune thrombocytopenic purpura and acute liver injury after COVID-19 vaccine.	BMJ Case Rep
34329973	Placental lesions and SARS-Cov-2 infection: Diffuse placenta damage associated to poor fetal outcome.	Placenta
34329810	Myasthenia gravis associated with novel coronavirus 2019 infection: A report of three cases.	Clin Neurol Neurosurg
34329200	Septic Arthritis of the Shoulder After SARS-CoV-2 Pfizer Vaccination: A Case Report.	JBJS Case Connect
34328811	Adolescent Tracheostomy for COVID-19 Respiratory Failure.	Ear Nose Throat J
34328578	Anti-GAD associated post-infectious cerebellitis after COVID-19 infection.	Neurol Sci
34327860	Progressive chronic SARS-CoV-2-positive giant cell myoendocarditis with atrial standstill and sudden cardiac death.	ESC Heart Fail
34327844	Presence of active myocarditis at the 6 month follow-up appointment for a severe form of COVID-19: a case report.	ESC Heart Fail
34327785	Reversibility of total airway closure and alveolar consolidation in a COVID-19 patient: A case study.	Nurs Crit Care
