pmid	title_e	journal
34315932	Country transition index based on hierarchical clustering to predict next COVID-19 waves.	Sci Rep
34313401	A mathematical dashboard for the analysis of Italian COVID-19 epidemic data.	Int J Numer Method Biomed Eng
34312590	The spreading of Covid-19 in Mexico: A diffusional approach.	Results Phys
34312574	Modeling and prediction of the transmission dynamics of COVID-19 based on the SINDy-LM method.	Nonlinear Dyn
34312573	Ultrametric diffusion equation on energy landscape to model disease spread in hierarchic socially clustered population.	Physica A
34312464	Commuting in metapopulation epidemic modeling.	Sci Rep
34312455	Improving prediction of COVID-19 evolution by fusing epidemiological and mobility data.	Sci Rep
34312227	"Estimating SARS-CoV-2 infections from deaths, confirmed cases, tests, and random surveys."	Proc Natl Acad Sci U S A
34310646	Modeling the survival times of the COVID-19 patients with a new statistical model: A case study from China.	PLoS One
34310593	A mechanistic and data-driven reconstruction of the time-varying reproduction number: Application to the COVID-19 epidemic.	PLoS Comput Biol
34310590	Projecting contact matrices in 177 geographical regions: An update and comparison with empirical data for the COVID-19 era.	PLoS Comput Biol
34310444	Effect of adjustment for case misclassification and infection date uncertainty on estimates of COVID-19 effective reproduction number.	Epidemiology
34308003	"Situation assessment and natural dynamics of COVID-19 pandemic in Nigeria, 31 May 2020."	Sci Afr
34308000	Effectiveness of non-pharmaceutical interventions against local transmission of COVID-19: An individual-based modelling study.	Infect Dis Model
34307007	Endemic-epidemic models to understand COVID-19 spatio-temporal evolution.	Spat Stat
34307005	On the accuracy of ARIMA based prediction of COVID-19 spread.	Results Phys
34306169	Linear parameter varying model of COVID-19 pandemic exploiting basis functions.	Biomed Signal Process Control
34306044	"A case study of 2019-nCOV cases in Argentina with the real data based on daily cases from March 03, 2020 to March 29, 2021 using classical and fractional derivatives."	Adv Differ Equ
34305445	IoT-based analysis for controlling & spreading prediction of COVID-19 in Saudi Arabia.	Soft comput
34305295	"A model for social spreading of Covid-19: Cases of Mexico, Finland and Iceland."	Physica A
34305259	A Deep Learning Method to Forecast COVID-19 Outbreak.	New Gener Comput
34305251	Prediction of global spread of COVID-19 pandemic: a review and research challenges.	Artif Intell Rev
34303266	Assessing the impact of data-driven limitations on tracing and forecasting the outbreak dynamics of COVID-19.	Comput Biol Med
34302820	Dynamics of partially mitigated multi-phasic epidemics at low susceptible depletion: Phases of COVID-19 control in Italy as case study.	Math Biosci
34300045	Modeling of the Long-Term Epidemic Dynamics of COVID-19 in the United States.	Int J Environ Res Public Health
34297161	[A mathematical model to estimate the number of unreported SARS-CoV-2 infections in the early phase of the pandemic using Germany and Italy as examples].	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz
34278058	Modelling SARS-CoV-2 unreported cases in Italy: Analysis of serological survey and vaccination scenarios.	Infect Dis Model
34277145	Analysis and forecasts for trends of COVID-19 in Pakistan using Bayesian models.	PeerJ
34276115	Hawkes process modeling of COVID-19 with mobility leading indicators and spatial covariates.	Int J Forecast
34273991	"Estimating COVID-19 cases infected with the variant alpha (VOC 202012/01): an analysis of screening data in Tokyo, January-March 2021."	Theor Biol Med Model
34273920	Impact of Non-pharmaceutical Interventions on the Control of COVID-19 in Iran: A Mathematical Modeling Study.	Int J Health Policy Manag
34273292	Estimating global and regional disruptions to routine childhood vaccine coverage during the COVID-19 pandemic in 2020: a modelling study.	Lancet
34271752	Nonuniversal power-law dynamics of susceptible infected recovered models on hierarchical modular networks.	Phys Rev E
34269629	A multi-stage SEIR(D) model of the COVID-19 epidemic in Korea.	Ann Med
34268211	Exponentially Increasing Trend of Infected Patients with COVID-19 in Iran: A Comparison of Neural Network and ARIMA Forecasting Models.	Iran J Public Health
34267295	Predictability of COVID-19-related morbidity and mortality based on model estimations to establish proactive protocols of countermeasures.	Sci Rep
34264972	Predicting COVID-19 cases with unknown homogeneous or heterogeneous resistance to infectivity.	PLoS One
34258586	Performance Evaluation of Soft Computing Approaches for Forecasting COVID-19 Pandemic Cases.	SN Comput Sci
34255985	"Integrated vaccination and non-pharmaceutical interventions based strategies in Ontario, Canada, as a case study: a mathematical modelling study."	J R Soc Interface
34255772	A comprehensive estimation of country-level basic reproduction numbers R0 for COVID-19: Regime regression can automatically estimate the end of the exponential phase in epidemic data.	PLoS One
34253942	Modelling and forecasting of growth rate of new COVID-19 cases in top nine affected countries: Considering conditional variance and asymmetric effect.	Chaos Solitons Fractals
34253768	COUnty aggRegation mixup AuGmEntation (COURAGE) COVID-19 prediction.	Sci Rep
34253340	A novel hybrid fuzzy time series model for prediction of COVID-19 infected cases and deaths in India.	ISA Trans
34252078	Bayesian back-calculation and nowcasting for line list data during the COVID-19 pandemic.	PLoS Comput Biol
34251243	Criticality in epidemic spread: An application in the case of COVID19 infected population.	Chaos
34251226	Stochastic analysis of COVID-19 by a SEIR model with Levy noise.	Chaos
34249953	"Estimating the Prevalence of Asymptomatic COVID-19 Cases and Their Contribution in Transmission - Using Henan Province, China, as an Example."	Front Med (Lausanne)
34249608	"Spatial-temporal generalized additive model for modeling COVID-19 mortality risk in Toronto, Canada."	Spat Stat
34249603	The forecast of COVID-19 spread risk at the county level.	J Big Data
34249495	Forecasting the COVID-19 transmission in Italy based on the minimum spanning tree of dynamic region network.	PeerJ
34249124	Complex mathematical SIR model for spreading of COVID-19 virus with Mittag-Leffler kernel.	Adv Differ Equ
34248309	Scalable Estimation of Epidemic Thresholds via Node Sampling.	Sankhya Ser A
34248281	Mathematical modelling of the second wave of COVID-19 infections using deterministic and stochastic SIDR models.	Nonlinear Dyn
34248280	A stochastic SEIHR model for COVID-19 data fluctuations.	Nonlinear Dyn
34248229	Bayesian inference of heterogeneous epidemic models: Application to COVID-19 spread accounting for long-term care facilities.	Comput Methods Appl Mech Eng
34245277	First back-calculation and infection fatality multiplier estimate of the hidden prevalence of COVID-19 in Ireland.	Eur J Public Health
34244764	Predicting and forecasting the impact of local outbreaks of COVID-19: use of SEIR-D quantitative epidemiological modelling for healthcare demand and capacity.	Int J Epidemiol
34240695	"Predicted dominance of variant Delta of SARS-CoV-2 before Tokyo Olympic Games, Japan, July 2021."	Euro Surveill
34238721	Temporal trends and forecasting of COVID-19 hospitalisations and deaths in Scotland using a national real-time patient-level data platform: a statistical modelling study.	Lancet Digit Health
34238344	Estimating the wave 1 and wave 2 infection fatality rates from SARS-CoV-2 in India.	BMC Res Notes
34230906	The Signature Features of COVID-19 Pandemic in a Hybrid Mathematical Model-Implications for Optimal Work-School Lockdown Policy.	Adv Theory Simul
34230884	Trajectory Simulation and Prediction of COVID-19 via Compound Natural Factor (CNF) Model in EDBF Algorithm.	Earths Future
34230756	Spatial network based model forecasting transmission and control of COVID-19.	Physica A
34230748	Malaria and COVID-19 co-dynamics: A mathematical model and optimal control.	Appl Math Model
34230734	Modeling of fractional-order COVID-19 epidemic model with quarantine and social distancing.	Math Methods Appl Sci
34230733	Modeling and optimal control analysis of COVID-19: Case studies from Italy and Spain.	Math Methods Appl Sci
34230732	Analysis of fractional COVID-19 epidemic model under Caputo operator.	Math Methods Appl Sci
34230701	An approach to forecast impact of Covid-19 using supervised machine learning model.	Softw Pract Exp
34230688	"Bayesian spatiotemporal forecasting and mapping of COVID-19 risk with application to West Java Province, Indonesia."	J Reg Sci
34230672	A Continuous Model of Three Scenarios of the Infection Process with Delayed Immune Response Factors.	Biophysics (Oxf)
34197489	Predicting COVID-19 in very large countries: The case of Brazil.	PLoS One
34195166	Short-Term Forecasting of Daily Confirmed COVID-19 Cases in Malaysia Using RF-SSA Model.	Front Public Health
34194512	Mortality and Excess Mortality: Improving FluMOMO.	J Environ Public Health
34193334	"Estimating the Impact of Statewide Policies to Reduce Spread of Severe Acute Respiratory Syndrome Coronavirus 2 in Real Time, Colorado, USA."	Emerg Infect Dis
34192225	A Computational Model for Estimating the Progression of COVID-19 Cases in the US West and East Coast Population Regions.	Exp Results
34192106	Analysing Recovery From Pandemics by Learning Theory: The Case of CoVid-19.	IEEE Access
34189256	Modelling the epidemic dynamics of COVID-19 with consideration of human mobility.	Int J Data Sci Anal
34189025	On study of fractional order epidemic model of COVID-19 under non-singular Mittag-Leffler kernel.	Results Phys
34188432	Modeling the impact of SARS-CoV-2 variants and vaccines on the spread of COVID-19.	Commun Nonlinear Sci Numer Simul
34188342	Explicit formulae for the peak time of an epidemic from the SIR model. Which approximant to use?	Physica D
34188119	Public mobility data enables COVID-19 forecasting and management at local and global scales.	Sci Rep
34187879	Pan-African evolution of within- and between-country COVID-19 dynamics.	Proc Natl Acad Sci U S A
34183903	Analysis of COVID-19 using a modified SLIR model with nonlinear incidence.	Results Phys
34183873	Modeling the dynamic of COVID-19 with different types of transmissions.	Chaos Solitons Fractals
34181686	Infection rate models for COVID-19: Model risk and public health news sentiment exposure adjustments.	PLoS One
34180981	Cumulated burden of Covid-19 in Spain from a Bayesian perspective.	Eur J Public Health
34179029	Toward a Country-Based Prediction Model of COVID-19 Infections and Deaths Between Disease Apex and End: Evidence From Countries With Contained Numbers of COVID-19.	Front Med (Lausanne)
34178594	Time series prediction of COVID-19 transmission in America using LSTM and XGBoost algorithms.	Results Phys
34178593	"Forecast of the outbreak of COVID-19 using artificial neural network: Case study Qatar, Spain, and Italy."	Results Phys
34178570	Fractional Model with Social Distancing Parameter for Early Estimation of COVID-19 Spread.	Arab J Sci Eng
34177194	"Preliminary prediction of the control reproduction number of COVID-19 in Shaanxi Province, China."	Appl Math
34177122	Local mortality estimates during the COVID-19 pandemic in Italy.	J Popul Econ
34177117	Parameter estimation of the incubation period of COVID-19 based on the doubly interval-censored data model.	Nonlinear Dyn
34177035	Pandemic coronavirus disease (Covid-19): World effects analysis and prediction using machine-learning techniques.	Expert Syst
34175549	Estimating the generation interval and inferring the latent period of COVID-19 from the contact tracing data.	Epidemics
34175236	New COVID-19 variant (B.1.1.7): Forecasting the occasion of virus and the related meteorological factors.	J Infect Public Health
34173890	Kinetic models for epidemic dynamics with social heterogeneity.	J Math Biol
34166416	"An integrated risk and epidemiological model to estimate risk-stratified COVID-19 outcomes for Los Angeles County: March 1, 2020-March 1, 2021."	PLoS One
34166411	Characterizing two outbreak waves of COVID-19 in Spain using phenomenological epidemic modelling.	PLoS One
34156966	Forecasting the COVID-19 Epidemic by Integrating Symptom Search Behavior Into Predictive Models: Infoveillance Study.	J Med Internet Res
34156964	Evaluation of a Parsimonious COVID-19 Outbreak Prediction Model: Heuristic Modeling Approach Using Publicly Available Data Sets.	J Med Internet Res
34155422	UTLDR: an agent-based framework for modeling infectious diseases and public interventions.	J Intell Inf Syst
34155418	Cryptocurrency volatility forecasting: What can we learn from the first wave of the COVID-19 outbreak?	Ann Oper Res
34154563	Estimating age-specific COVID-19 fatality risk and time to death by comparing population diagnosis and death patterns: Australian data.	BMC Med Res Methodol
34151970	"Constructing and adjusting estimates for household transmission of SARS-CoV-2 from prior studies, widespread-testing and contact-tracing data."	Int J Epidemiol
34151134	PolSIRD: Modeling Epidemic Spread Under Intervention Policies: Analyzing the First Wave of COVID-19 in the USA.	J Healthc Inform Res
34151051	Mathematical assessment of the role of denial on COVID-19 transmission with non-linear incidence and treatment functions.	Sci Afr
34150986	Incorporating dynamic flight network in SEIR to model mobility between populations.	Appl Netw Sci
34150484	An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.	Results Phys
34150314	Modelling the impact of travel restrictions on COVID-19 cases in Newfoundland and Labrador.	R Soc Open Sci
34149970	Estimate the Trend of COVID-19 Outbreak in China: a Statistical and Inferential Analysis on Provincial-level Data.	Procedia Comput Sci
34149967	The Prediction for COVID-19 Outbreak in China by using the Concept of Term Structure for the Turning Period.	Procedia Comput Sci
34149836	A numerical and analytical study of SE(Is)(Ih)AR epidemic fractional order COVID-19 model.	Adv Differ Equ
34149279	The COVID-19 basic reproductive ratio using SEIR model for the Middle East countries and some other countries for two stages of the disease.	Bull Natl Res Cent
34149204	On the heterogeneous spread of COVID-19 in Chile.	Chaos Solitons Fractals
34141462	Estimation of the probability of daily fluctuations of incidence of COVID-19 according to official data.	PeerJ
34138956	"Forecasting daily new infections, deaths and recovery cases due to COVID-19 in Pakistan by using Bayesian Dynamic Linear Models."	PLoS One
34138845	"Estimating the cumulative incidence of COVID-19 in the United States using influenza surveillance, virologic testing, and mortality data: Four complementary approaches."	PLoS Comput Biol
34138498	Predicting the development trend of the second wave of COVID-19 in five European countries.	J Med Virol
34136660	Public healthcare system capacity during COVID-19: A computational case study of SARS-CoV-2.	Health Sci Rep
34131557	A study on the efficiency of the estimation models of COVID-19.	Results Phys
34131452	Incorporating Time Delays in the Mathematical Modelling of the Human Immune Response in Viral Infections.	Procedia Comput Sci
34131413	A COVID-19 forecasting system using adaptive neuro-fuzzy inference.	Financ Res Lett
34131234	The real seroprevalence of SARS-CoV-2 in France and its consequences for virus dynamics.	Sci Rep
34131231	A new grey quadratic polynomial model and its application in the COVID-19 in China.	Sci Rep
34131198	Distribution of incubation periods of COVID-19 in the Canadian context.	Sci Rep
34129608	Mathematical modeling of the transmission of SARS-CoV-2-Evaluating the impact of isolation in Sao Paulo State (Brazil) and lockdown in Spain associated with protective measures on the epidemic of CoViD-19.	PLoS One
34129512	"Comparative Study of COVID-19 Pandemic Progressions in 175 Regions in Australia, Canada, Italy, Japan, Spain, U.K. and USA Using a Novel Model That Considers Testing Capacity and Deficiency in Confirming Infected Cases."	IEEE J Biomed Health Inform
34127952	"Multi-generational SIR modeling: Determination of parameters, epidemiological forecasting and age-dependent vaccination policies."	Infect Dis Model
34127946	Mathematical modeling of COVID-19 in India and its states with optimal control.	Model Earth Syst Environ
34127757	A multi-method approach to modeling COVID-19 disease dynamics in the United States.	Sci Rep
34124417	"The predicted trend of COVID-19 in the United States of America under the policy of ""Opening Up America Again""."	Infect Dis Model
34124240	Modelling the Transmission Dynamics of COVID-19 in Six High-Burden Countries.	Biomed Res Int
34121965	Short-term prediction of COVID-19 spread using grey rolling model optimized by particle swarm optimization.	Appl Soft Comput
34121809	Nonlinear models: a case of the COVID-19 confirmed rates in top 8 worst affected countries.	Nonlinear Dyn
34118731	Nonlinear dynamics for the spread of pathogenesis of COVID-19 pandemic.	J Infect Public Health
34118730	COVID-19 prevalence forecasting using Autoregressive Integrated Moving Average (ARIMA) and Artificial Neural Networks (ANN): Case of Turkey.	J Infect Public Health
34117868	The incubation period distribution of coronavirus disease 2019 (COVID-19): a systematic review and meta-analysis.	Clin Infect Dis
34117858	Exploring early prevention and control of COVID-19 outbreak based on system dynamics model analysis.	Zhejiang Da Xue Xue Bao Yi Xue Ban
34117853	Predicting COVID-19 epidemiological trend by applying population mobility data in two-stage modeling.	Zhejiang Da Xue Xue Bao Yi Xue Ban
34116895	Probabilistic forecasts of COVID-19 deaths with the progression rate from pneumonia to ARDS: An open-data-based global study.	J Formos Med Assoc
34114187	Estimating the asymptomatic proportion of SARS-CoV-2 infection in the general population: Analysis of nationwide serosurvey data in the Netherlands.	Eur J Epidemiol
34113453	The ecological dynamics of the coronavirus epidemics during transmission from outside sources when R 0 is successfully managed below one.	R Soc Open Sci
34112086	Forecasting the spread of COVID-19 using LSTM network.	BMC Bioinformatics
34111834	Forecast modeling to identify changes in pediatric emergency department utilization during the COVID-19 pandemic.	Am J Emerg Med
34108819	Study on the mathematical modelling of COVID-19 with Caputo-Fabrizio operator.	Chaos Solitons Fractals
34108815	COVID-19 outbreak in India: an SEIR model-based analysis.	Nonlinear Dyn
34108505	Dynamics based on analysis of public data for spreading of disease.	Sci Rep
34104629	Steady state Kalman filter design for cases and deaths prediction of Covid-19 in Greece.	Results Phys
34104256	Data Analysis and Forecasting of the COVID-19 Spread: A Comparison of Recurrent Neural Networks and Time Series Models.	Cognit Comput
34103789	Modeling and controlling the spread of epidemic with various social and economic scenarios.	Chaos Solitons Fractals
34103780	Infection vulnerability stratification risk modelling of COVID-19 data: a deterministic SEIR epidemic model analysis.	Ann Oper Res
34103618	A model and predictions for COVID-19 considering population behavior and vaccination.	Sci Rep
34103391	Temperature and population density influence SARS-CoV-2 transmission in the absence of nonpharmaceutical interventions.	Proc Natl Acad Sci U S A
34099741	SEAMHCRD deterministic compartmental model based on clinical stages of infection for COVID-19 pandemic in Sultanate of Oman.	Sci Rep
34098928	Predicting the incidence of COVID-19 using data mining.	BMC Public Health
34098885	A comparison of five epidemiological models for transmission of SARS-CoV-2 in India.	BMC Infect Dis
34095599	Study of SEIR epidemic model and scenario analysis of COVID-19 pandemic.	Ecol Genet Genom
34094820	Controlling of pandemic COVID-19 using optimal control theory.	Results Phys
34094819	Time-variant reliability-based prediction of COVID-19 spread using extended SEIVR model and Monte Carlo sampling.	Results Phys
34094795	The second and third waves in India: when will the pandemic be culminated?	Eur Phys J Plus
34092919	RLIM: a recursive and latent infection model for the prediction of US COVID-19 infections and turning points.	Nonlinear Dyn
34092918	Vaccination control of an epidemic model with time delay and its application to COVID-19.	Nonlinear Dyn
34091670	Short-term forecasting of the COVID-19 outbreak in India.	Int Health
34090392	Estimating effective infection fatality rates during the course of the COVID-19 pandemic in Germany.	BMC Public Health
34086944	Accounting for imported cases in estimating the time-varying reproductive number of COVID-19 in Hong Kong.	J Infect Dis
34083451	Estimating epidemiologic dynamics from cross-sectional viral load distributions.	Science
34081607	Real-time Prediction of the Daily Incidence of COVID-19 in 215 Countries and Territories Using Machine Learning: Model Development and Validation.	J Med Internet Res
34080487	Building epidemic models for living populations and computer networks.	Sci Prog
34077489	A Framework for a Statistical Characterization of Epidemic Cycles: COVID-19 Case Study.	JMIRx Med
34077448	Estimating the effects of non-pharmaceutical interventions on the number of new infections with COVID-19 during the first epidemic wave.	PLoS One
34076627	Forecasting the COVID-19 Pandemic in Saudi Arabia Using a Modified Singular Spectrum Analysis Approach: Model Development and Data Analysis.	JMIRx Med
34073942	Predicting of the Coronavirus Disease 2019 (COVID-19) Epidemic Using Estimation of Parameters in the Logistic Growth Model.	Infect Dis Rep
34073810	Using Unstated Cases to Correct for COVID-19 Pandemic Outbreak and Its Impact on Easing the Intervention for Qatar.	Biology (Basel)
34071801	One-Year Lesson: Machine Learning Prediction of COVID-19 Positive Cases with Meteorological Data and Mobility Estimate in Japan.	Int J Environ Res Public Health
34071502	"Estimation of the Actual Incidence of Coronavirus Disease (COVID-19) in Emergent Hotspots: The Example of Hokkaido, Japan during February-March 2020."	J Clin Med
34067128	Will SARS-CoV-2 Become Just Another Seasonal Coronavirus?	Viruses
34066512	Estimation of Undetected Asymptomatic COVID-19 Cases in South Korea Using a Probabilistic Model.	Int J Environ Res Public Health
34059063	A Bayesian spatio-temporal analysis of mortality rates in Spain: application to the COVID-19 2020 outbreak.	Popul Health Metr
34056624	Cross-Validation Comparison of COVID-19 Forecast Models.	SN Comput Sci
34055583	Stability analysis and simulation of the novel Corornavirus mathematical model via the Caputo fractional-order derivative: A case study of Algeria.	Results Phys
34054221	Stability and optimal control strategies for a novel epidemic model of COVID-19.	Nonlinear Dyn
34053269	Novel coronavirus 2019-nCoV (COVID-19): early estimation of epidemiological parameters and epidemic size estimates.	Philos Trans R Soc Lond B Biol Sci
34053261	"A spatial model of COVID-19 transmission in England and Wales: early spread, peak timing and the impact of seasonality."	Philos Trans R Soc Lond B Biol Sci
34053260	Exploring surveillance data biases when estimating the reproduction number: with insights into subpopulation transmission of COVID-19 in England.	Philos Trans R Soc Lond B Biol Sci
34053254	Real-time nowcasting and forecasting of COVID-19 dynamics in England: the first wave.	Philos Trans R Soc Lond B Biol Sci
34053251	Estimates of regional infectivity of COVID-19 in the United Kingdom following imposition of social distancing measures.	Philos Trans R Soc Lond B Biol Sci
34052570	Machine learning models for the prediction of the SEIRD variables for the COVID-19 pandemic based on a deep dependence analysis of variables.	Comput Biol Med
34051491	Data-driven estimation of COVID-19 community prevalence through wastewater-based epidemiology.	Sci Total Environ
34050198	Retrospective methodology to estimate daily infections from deaths (REMEDID) in COVID-19: the Spain case study.	Sci Rep
34048475	The evaluation of COVID-19 prediction precision with a Lyapunov-like exponent.	PLoS One
34043172	Predicting COVID-19 cases using bidirectional LSTM on multivariate time series.	Environ Sci Pollut Res Int
34040044	Evolution of disease transmission during the COVID-19 pandemic: patterns and determinants.	Sci Rep
34039289	The effects of non-pharmaceutical interventions on SARS-CoV-2 transmission in different socioeconomic populations in Kuwait: a modeling study.	BMC Public Health
34038897	Epidemic spreading in an expanded parameter space: the supercritical scaling laws and subcritical metastable phases.	Phys Biol
34036037	COVID-19 outbreak in Italy: estimation of reproduction numbers over 2 months prior to phase 2.	Z Gesundh Wiss
34035940	Projecting a second wave of COVID-19 in Japan with variable interventions in high-risk settings.	R Soc Open Sci
34035567	Demystifying R Naught: Understanding What Does it Hide?	Indian J Community Med
34035086	Predicting the propagation of COVID-19 at an international scale: extension of an SIR model.	BMJ Open
34034662	"Estimating asymptomatic, undetected and total cases for the COVID-19 outbreak in Wuhan: a mathematical modeling study."	BMC Infect Dis
34028467	A novel fractional mathematical model of COVID-19 epidemic considering quarantine and latent time.	Results Phys
34026721	Baidu Index and COVID-19 Epidemic Forecast: Evidence From China.	Front Public Health
34026472	Volatility estimation for COVID-19 daily rates using Kalman filtering technique.	Results Phys
34026471	Transmission dynamics of SARS-CoV-2: A modeling analysis with high-and-moderate risk populations.	Results Phys
34025047	Meteorological and human mobility data on predicting COVID-19 cases by a novel hybrid decomposition method with anomaly detection analysis: A case study in the capitals of Brazil.	Expert Syst Appl
34023964	Control with uncertain data of socially structured compartmental epidemic models.	J Math Biol
34022420	Population stratification enables modeling effects of reopening policies on mortality and hospitalization rates.	J Biomed Inform
34019581	Evaluating data-driven methods for short-term forecasts of cumulative SARS-CoV2 cases.	PLoS One
34019561	"A Discrete-Event, Simulated Social Agent-Based Network Transmission (DESSABNeT) model for communicable diseases: Method and validation using SARS-CoV-2 data in three large Australian cities."	PLoS One
34015676	Memory is key in capturing COVID-19 epidemiological dynamics.	Epidemics
34012950	Estimating the Instantaneous Asymptomatic Proportion With a Simple Approach: Exemplified With the Publicly Available COVID-19 Surveillance Data in Hong Kong.	Front Public Health
34012470	Zero-Inflated Time Series Modelling of COVID-19 Deaths in Ghana.	J Environ Public Health
34007459	Anticipating trajectories of exponential growth.	R Soc Open Sci
34007264	A mathematical model for the spread of COVID-19 and control mechanisms in Saudi Arabia.	Adv Differ Equ
34007123	Modified SIRD Model for COVID-19 Spread Prediction for Northern and Southern States of India.	Chaos Solitons Fractals
34007097	"Discrete and continuum models of COVID-19 virus, formal solutions, stability and comparison with real data."	Math Comput Simul
34006346	"Mathematical Modeling and COVID-19 Forecast in Texas, USA: A Prediction Model Analysis and the Probability of Disease Outbreak."	Disaster Med Public Health Prep
34006279	Prediction of hospital bed capacity during the COVID- 19 pandemic.	BMC Health Serv Res
34006031	Modelling COVID-19 transmission in Africa: countrywise projections of total and severe infections under different lockdown scenarios.	BMJ Open
34003763	How New Mexico Leveraged a COVID-19 Case Forecasting Model to Preemptively Address the Health Care Needs of the State: Quantitative Analysis.	JMIR Public Health Surveill
34002127	Modeling the underestimation of COVID-19 infection.	Results Phys
34002126	A two-phase dynamic contagion model for COVID-19.	Results Phys
34002125	Global transmission dynamic of SIR model in the time of SARS-CoV-2.	Results Phys
34002105	A fractional order Covid-19 epidemic model with Mittag-Leffler kernel.	Chaos Solitons Fractals
34001251	Predictive modelling for COVID-19 outbreak control: lessons from the navy cluster in Sri Lanka.	Mil Med Res
