pmid	title_e	journal
34397701	School closures were over-weighted against the mitigation of COVID-19 transmission: A literature review on the impact of school closures in the United States.	Medicine (Baltimore)
34396958	Aerosol transmission of SARS-CoV-2 due to the chimney effect in two high-rise housing drainage stacks.	J Hazard Mater
34396925	Breastfeeding in the era of COVID-19. A narrative review.	J Obstet Gynaecol
34395957	Quantifying competitive advantages of mutant strains in a population involving importation and mass vaccination rollout.	Infect Dis Model
34395370	How Transportation Restriction Shapes the Relationship Between Ambient Nitrogen Dioxide and COVID-19 Transmissibility: An Exploratory Analysis.	Front Public Health
34395365	Community Transmission via Indirect Media-To-Person Route: A Missing Link in the Rapid Spread of COVID-19.	Front Public Health
34395364	Molecular Phylogenesis and Spatiotemporal Spread of SARS-CoV-2 in Southeast Asia.	Front Public Health
34395186	"Modeling coupling dynamics between the transmission, intervention of COVID-19 and economic development."	Results Phys
34395180	Risk Assessment Model and Application of COVID-19 Virus Transmission in Closed Environments at Sea.	Sustain Cities Soc
34395135	Pregnancy Outcomes With COVID-19 Lessons Learned From the Pandemic.	Cureus
34395033	"Coronavirus Disease 2019 Infection among Children: Pathogenesis, Treatment, and Outcome."	J Pediatr Intensive Care
34394121	Diverse Effects of Exosomes on COVID-19: A Perspective of Progress From Transmission to Therapeutic Developments.	Front Immunol
34393416	"Effect of environmental, economic and health factors on CoVid-19 transmission."	Bioinformation
34393375	"Transmission dynamics of novel coronavirus SARS-CoV-2 among healthcare workers, a case study in Iran."	Nonlinear Dyn
34393326	Aerosols from speaking can linger in the air for up to nine hours.	Build Environ
34392254	Rapid review of social contact patterns during the COVID-19 pandemic.	Epidemiology
34391909	Low infectious risk of re-positive COVID-19 patients: a single-center study.	Int J Infect Dis
34391102	Prevalence of human pathogenic viruses in wastewater: A potential transmission risk as well as an effective tool for early outbreak detection for COVID-19.	J Environ Manage
34391039	Correlations between control of COVID-19 transmission and influenza occurrences in Malaysia.	Public Health
34390731	Shrinkage in serial intervals across transmission generations of COVID-19.	J Theor Biol
34390597	"The ""Oral"" History of COVID-19: Primary Infection, Salivary Transmission, and Post-Acute Implications."	J Periodontol
34389034	Evolutionary trajectory of SARS-CoV-2 and emerging variants.	Virol J
34388990	Sociodemographic characteristics and transmission risk factors in patients hospitalized for COVID-19 before and during the lockdown in France.	BMC Infect Dis
34388648	"Systematic assessment of SARS-CoV-2 virus in wastewater, rivers and drinking water - A catchment-wide appraisal."	Sci Total Environ
34387617	"PEDIATRIC HOUSEHOLD TRANSMISSION OF SEVERE ACUTE RESPIRATORY CORONAVIRUS-2 INFECTION-LOS ANGELES COUNTY, DECEMBER 2020 TO FEBRUARY 2021."	Pediatr Infect Dis J
34387545	Patterns of within-host genetic diversity in SARS-CoV-2.	Elife
34386793	"Seropositivity of COVID-19 among asymptomatic healthcare workers: A multi-site prospective cohort study from Northern Virginia, United States."	Lancet Reg Health Am
34386740	"SARS-CoV-2 infection, antibody positivity and seroconversion rates in staff and students following full reopening of secondary schools in England: A prospective cohort study, September-December 2020."	EClinicalMedicine
34386249	SARS-CoV-2 infection in UK university students: lessons from September-December 2020 and modelling insights for future student return.	R Soc Open Sci
34384441	SARS-CoV-2 infection risk during delivery of childhood vaccination campaigns: a modelling study.	BMC Med
34383889	"Household transmission of SARS-CoV-2 in the United States: living density, viral load, and disproportionate impact on communities of color."	Clin Infect Dis
34346289	Do Not Neglect the Covid-19 Transmission Through Sexual Intercourse.	J Sex Marital Ther
34341034	"Rapid, early and accurate SARS-CoV-2 detection using RT-qPCR in primary care: a prospective cohort study (REAP-1)."	BMJ Open
34337354	A realistic transfer method reveals low risk of SARS-CoV-2 transmission via contaminated euro coins and banknotes.	iScience
34335004	On pollen and airborne virus transmission.	Phys Fluids (1994)
34334033	Effect of H2O2 Antiseptic on Dispersal of Cavitation-Induced Microdroplets.	J Dent Res
34332019	Epidemiological data and genome sequencing reveals that nosocomial transmission of SARS-CoV-2 is underestimated and mostly mediated by a small number of highly infectious individuals.	J Infect
34331921	A review of methods to reduce the probability of the airborne spread of COVID-19 in ventilation systems and enclosed spaces.	Environ Res
34331326	Multi-inflammatory syndrome and Kawasaki disease in children during the COVID-19 pandemic: A nationwide register-based study and time series analysis.	Acta Paediatr
34330988	Rates of SARS-CoV-2 transmission and vaccination impact the fate of vaccine-resistant strains.	Sci Rep
34330945	COVID-19 vaccines that reduce symptoms but do not block infection need higher coverage and faster rollout to achieve population impact.	Sci Rep
34330815	Occupational and environmental exposure to SARS-CoV-2 in and around infected mink farms.	Occup Environ Med
34330791	"Asymptomatic COVID-19 infection: diagnosis, transmission, population characteristics."	BMJ Support Palliat Care
34329634	Investigating SARS-CoV-2 persistent contamination in different indoor environments.	Environ Res
34329631	What we know and what we need to know about the origin of SARS-CoV-2.	Environ Res
34329437	Single-cell RNA Sequencing of SARS-CoV-2 Cell Entry Factors in the Preconceptional Human Endometrium.	Hum Reprod
34329418	Risk of Healthcare-Associated Transmission of SARS-CoV-2 in Hospitalized Cancer Patients.	Clin Infect Dis
34328314	Relative Humidity Predicts Day-to-Day Variations in COVID-19 Cases in the City of Buenos Aires.	Environ Sci Technol
34328176	"Genomic epidemiology and transmission dynamics of SARS-CoV-2 in congregate healthcare facilities in Santa Clara County, California."	Clin Infect Dis
34328076	"An outbreak caused by the SARS-CoV-2 Delta variant (B.1.617.2) in a secondary care hospital in Finland, May 2021."	Euro Surveill
34328074	"Vaccine breakthrough infection and onward transmission of SARS-CoV-2 Beta (B.1.351) variant, Bavaria, Germany, February to March 2021."	Euro Surveill
34326997	"Risk of infection and transmission of SARS-CoV-2 among children and adolescents in households, communities and educational settings: A systematic review and meta-analysis."	J Glob Health
34326184	Cross-reactive antibodies against human coronaviruses and the animal coronavirome suggest diagnostics for future zoonotic spillovers.	Sci Immunol
34325779	Efficacy of personal protective equipment against coronavirus transmission via dental handpieces.	J Am Dent Assoc
34325659	Cospeciation of coronavirus and paramyxovirus with their bat hosts in the same geographical areas.	BMC Ecol Evol
34325286	SARS-CoV-2 and other coronaviruses bind to phosphorylated glycans from the human lung.	Virology
34325266	"The link between COVID-19 mortality and PM2.5 emissions in rural and medium-size municipalities considering population density, dust events, and wind speed."	Chemosphere
34325230	Multi-agent simulation model for the evaluation of COVID-19 transmission.	Comput Biol Med
34325141	Surface contamination with SARS-CoV-2: A systematic review.	Sci Total Environ
34324882	Prevalence and Transmission of SARS-CoV-2 in Childcare Facilities: A Longitudinal Study.	J Pediatr
34324848	SARS-CoV-2 airborne transmission: A validated sampling and analytical method.	Environ Res
34324570	The transmission of SARS-CoV-2 is likely comodulated by temperature and by relative humidity.	PLoS One
34324480	Guidance for Implementing COVID-19 Prevention Strategies in the Context of Varying Community Transmission Levels and Vaccination Coverage.	MMWR Morb Mortal Wkly Rep
34324023	[SARS-CoV-2 transmission routes and implications for self- and non-self-protection].	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz
34323833	Effect of daily temperature fluctuations on virus lifetime.	Sci Total Environ
34322866	First direct human-to-cat transmission of the SARS-CoV-2 B.1.1.7 variant.	Aust Vet J
34322584	COVID-19 Deliveries: Maternal Features and Neonatal Outcomes.	J Patient Cent Res Rev
34322436	Epidemiological characteristics of children with coronavirus at a joint commission-accredited hospital in the United Arab Emirates.	J Family Med Prim Care
34322402	Is it time to consider shreds of epidemiological and environmental evidence associated with high transmission of COVID-19?	J Family Med Prim Care
34320680	Severity of Maternal SARS-CoV-2 Infection in Pregnancy Predicts Neonatal Outcomes.	Am J Perinatol
34320592	Intraoperative Measures to Reduce the Risk of COVID-19 Transmission During Minimally Invasive Procedures: A Systematic Review and Critical Appraisal of Societies' Recommendations.	Surg Laparosc Endosc Percutan Tech
34320273	Discovering dynamic models of COVID-19 transmission.	Transbound Emerg Dis
34319149	Transmission of Infections during Cardiopulmonary Resuscitation.	Clin Microbiol Rev
34316566	Histopathology laboratory paperwork as a potential risk of COVID-19 transmission among laboratory personnel.	Infect Prev Pract
34316562	Health Care Workers and Patients as Trojan Horses: a COVID19 ward outbreak.	Infect Prev Pract
34316556	Potential role of inanimate surfaces for the spread of coronaviruses and their inactivation with disinfectant agents.	Infect Prev Pract
34316553	Spring 2020 COVID-19 community transmission behaviours around New York City medical facilities.	Infect Prev Pract
34316550	"SARS-Cov-2 prevalence, transmission, health-related outcomes and control strategies in homeless shelters: Systematic review and meta-analysis."	EClinicalMedicine
34316508	First detection of an Italian human-to-cat outbreak of SARS-CoV-2 Alpha variant - lineage B.1.1.7.	One Health
34315928	Factors influencing SARS-CoV-2 transmission and outbreak control measures in densely populated settings.	Sci Rep
34315899	Impact of tiered restrictions on human activities and the epidemiology of the second wave of COVID-19 in Italy.	Nat Commun
34315427	"COVID-19 false dichotomies and a comprehensive review of the evidence regarding public health, COVID-19 symptomatology, SARS-CoV-2 transmission, mask wearing, and reinfection."	BMC Infect Dis
34315010	Dynamics of breast milk antibody titer in the six months following SARS-CoV-2 infection.	J Clin Virol
34315009	"Universal Polymerase Chain Reaction Screening for Severe Acute Respiratory Syndrome Coronavirus 2 in Asymptomatic Patients Before Hospital Admission in Tokyo, Japan."	J Clin Virol
34314050	SARS-CoV-2 R.1 lineage variants that prevailed in Tokyo in March 2021.	J Med Virol
34313896	Prevalence of SARS-CoV-2 RNA on inanimate surfaces: a systematic review and meta-analysis.	Eur J Epidemiol
34312574	Modeling and prediction of the transmission dynamics of COVID-19 based on the SINDy-LM method.	Nonlinear Dyn
34311990	COVID-19 in children: where do we stand?	Arch Med Res
34311586	D614G Substitution of SARS-CoV-2 Spike Protein Increases Syncytium Formation and Virus Titer via Enhanced Furin-Mediated Spike Cleavage.	mBio
34310593	A mechanistic and data-driven reconstruction of the time-varying reproduction number: Application to the COVID-19 epidemic.	PLoS Comput Biol
34310589	Covasim: An agent-based model of COVID-19 dynamics and interventions.	PLoS Comput Biol
34310453	Zoonoses and global epidemics.	Curr Opin Infect Dis
34308321	Implementation of a pooled surveillance testing program for asymptomatic SARS-CoV-2 infections in K-12 schools and universities.	EClinicalMedicine
34308301	The impact of lockdown timing on COVID-19 transmission across US counties.	EClinicalMedicine
34308002	Risk of COVID-19 variant importation - How useful are travel control measures?	Infect Dis Model
34308000	Effectiveness of non-pharmaceutical interventions against local transmission of COVID-19: An individual-based modelling study.	Infect Dis Model
34307723	"Prevalence of SARS-CoV-2 in Household Members and Other Close Contacts of COVID-19 Cases: A Serologic Study in Canton of Vaud, Switzerland."	Open Forum Infect Dis
34307705	"Maternal and Fetal Outcomes of Pregnant Women Infected with Coronavirus Based on Tracking the Results of 90-Days Data in Hazrat -E- Rasoul Akram Hospital, Iran University of Medical Sciences."	Bull Emerg Trauma
34307596	Role of gastrointestinal system on transmission and pathogenesis of SARS-CoV-2.	World J Clin Cases
34307595	Exploration of transmission chain and prevention of the recurrence of coronavirus disease 2019 in Heilongjiang Province due to in-hospital transmission.	World J Clin Cases
34307549	COVID-19 and gastroenteric manifestations.	World J Clin Cases
34306996	Mitigating COVID-19 infection disease transmission in indoor environment using physical barriers.	Sustain Cities Soc
34306994	Recent research on expiratory particles in respiratory viral infection and control strategies: A review.	Sustain Cities Soc
34306993	Airborne infection risks of SARS-CoV-2 in U.S. schools and impacts of different intervention strategies.	Sustain Cities Soc
34306118	Systematic review of the effects of environmental factors on virus inactivation: implications for coronavirus disease 2019.	Int J Environ Sci Technol (Tehran)
34305164	Technical note: Impact of face covering on aerosol transport patterns during coughing and sneezing.	J Aerosol Sci
34305142	"[Covid-19 and the animal world, from a still mysterious origin towards an always unpredictable future]."	Bull Acad Natl Med
34304620	Estimating the consequences of a COVID-19 super spreader: A stochastic model of a night on the town.	Scand J Public Health
34304212	Evaluation and comparison of conjunctival swab polymerase chain reaction results in SARS-CoV-2 patients with and without ocular manifestations.	Indian J Ophthalmol
34302822	Airborne aerosols particles and COVID-19 transition.	Environ Res
34302469	Higher viral load drives infrequent SARS-CoV-2 transmission between asymptomatic residence hall roommates.	J Infect Dis
34302225	"Coronavirus: occurrence, surveillance, and persistence in wastewater."	Environ Monit Assess
34301854	Spatiotemporal invasion dynamics of SARS-CoV-2 lineage B.1.1.7 emergence.	Science
34301651	Potential impact of intervention strategies on COVID-19 transmission in Malawi: a mathematical modelling study.	BMJ Open
34300045	Modeling of the Long-Term Epidemic Dynamics of COVID-19 in the United States.	Int J Environ Res Public Health
34300011	Review of Associations between Built Environment Characteristics and Severe Acute Respiratory Syndrome Coronavirus 2 Infection Risk.	Int J Environ Res Public Health
34299045	Structural Evaluation of the Spike Glycoprotein Variants on SARS-CoV-2 Transmission and Immune Evasion.	Int J Mol Sci
34297863	Simulating near-field enhancement in transmission of airborne viruses with a quadrature-based model.	Indoor Air
34297794	"Hofbauer cells and coronavirus disease 2019 (COVID-19) in pregnancy: Molecular pathology analysis of villous macrophages, endothelial cells, and placental findings from 22 placentas infected by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) with and without fetal transmission."	Arch Pathol Lab Med
34297643	SARS-CoV-2 Antibodies Detected in Mother's Milk Post-Vaccination.	J Hum Lact
34296810	"Cohort profile: A Prospective Household cohort study of Influenza, Respiratory syncytial virus and other respiratory pathogens community burden and Transmission dynamics in South Africa, 2016-2018."	Influenza Other Respir Viruses
34296673	Transmission of paediatric respiratory syncytial virus and influenza in the wake of the COVID-19 pandemic.	Euro Surveill
34296422	Unlikely SARS-CoV-2 Transmission During Vaginal Delivery.	Reprod Sci
34295915	"Original Hosts, Clinical Features, Transmission Routes, and Vaccine Development for Coronavirus Disease (COVID-19)."	Front Med (Lausanne)
34280197	The effect of human mobility restrictions on the COVID-19 transmission network in China.	PLoS One
34279208	"Shared Food, Meals and Drinks: 10 Arguments Suggesting an Oral Transmission Route of SARS-CoV-2."	Infect Disord Drug Targets
34279137	Identification of SARS-CoV-2 on the ocular surface in a cohort of COVID-19 patients from Brazil.	Exp Biol Med (Maywood)
34278365	"Low seroprevalence of COVID-19 in Lao PDR, late 2020."	Lancet Reg Health West Pac
34278277	SARS-CoV-2 testing and sequencing for international arrivals reveals significant cross border transmission of high risk variants into the United Kingdom.	EClinicalMedicine
34274909	"New Coronavirus (SARS-CoV-2) Crossing Borders Beyond Cities, Nations, and Continents: Impact of International Travel."	Balkan Med J
34274804	Study of SARS-CoV-2 transmission in urban environment by questionnaire and modeling for sustainable risk control.	J Hazard Mater
34272199	Delivery management of suspected or confirmed COVID-19 positive mothers.	Pediatr Neonatol
34271962	Exploring secondary SARS-CoV-2 transmission from asymptomatic cases using contact tracing data.	Theor Biol Med Model
34271305	First detection and molecular analysis of SARS-CoV-2 from a naturally infected cat from Argentina.	Vet Microbiol
34270527	Breastfeeding and COVID-19.	Gac Med Mex
34270185	Factors Associated with the Incidence and Mortality of Coronavirus Disease 2019 (COVID-19) after 126-million Cases: A Meta-analysis.	J Epidemiol Glob Health
34269629	A multi-stage SEIR(D) model of the COVID-19 epidemic in Korea.	Ann Med
34269174	"Rapid spread of the SARS-CoV-2 Delta variant in some French regions, June 2021."	Euro Surveill
34268204	Obstetrics and Neonatal Outcomes in Pregnant Women with COVID-19: A Systematic Review.	Iran J Public Health
34267839	Review of COVID-19 Variants and COVID-19 Vaccine Efficacy: What the Clinician Should Know?	J Clin Med Res
34267262	Sex and age bias viral burden and interferon responses during SARS-CoV-2 infection in ferrets.	Sci Rep
34266516	Use of portable air cleaners to reduce aerosol transmission on a hospital coronavirus disease 2019 (COVID-19) ward.	Infect Control Hosp Epidemiol
34265349	Transmission risks of respiratory infectious diseases in various confined spaces: A meta-analysis for future pandemics.	Environ Res
34265239	Virus hunters: Discovering the evolutionary origins of SARS-CoV-2.	Cell Host Microbe
34264910	"SARS-CoV-2 B.1.617.2 (Delta) Variant COVID-19 Outbreak Associated with a Gymnastics Facility - Oklahoma, April-May 2021."	MMWR Morb Mortal Wkly Rep
34263921	COVID-19 infection in pregnancy: a single center experience with 75 cases.	Ginekol Pol
34262069	Theoretical investigation of pre-symptomatic SARS-CoV-2 person-to-person transmission in households.	Sci Rep
34261902	Coronavirus disease 2019 in children.	Curr Opin Infect Dis
34260951	"Viral populations of SARS-CoV-2 in upper respiratory tract, placenta, amniotic fluid and umbilical cord blood support viral replication in placenta."	Clin Microbiol Infect
34260643	Environmental stability of porcine respiratory coronavirus in aquatic environments.	PLoS One
34260088	SARS-CoV-2 B.1.617 Indian variants: Are electrostatic potential changes responsible for a higher transmission rate?	J Med Virol
34258053	Manifestations and Virus Detection in the Ocular Surface of Adult COVID-19 Patients: A Meta-Analysis.	J Ophthalmol
34257504	An outline of SARS-CoV-2 pathogenesis and the complement cascade of immune system.	Bull Natl Res Cent
34256352	Animal models of SARS-CoV-2 transmission.	Curr Opin Virol
34255991	Fluid Dynamics of Respiratory Infectious Diseases.	Annu Rev Biomed Eng
34255846	Cross-sectional assessment of SARS-CoV-2 viral load by symptom status in Massachusetts congregate living facilities.	J Infect Dis
34255632	TNet: Transmission Network Inference Using Within-Host Strain Diversity and its Application to Geographical Tracking of COVID-19 Spread.	IEEE/ACM Trans Comput Biol Bioinform
34255324	The Potential for Transmission of Coronaviruses via Sports Equipment; A Cricket Case Study.	Int J Sports Med
34254048	Pattern and determinants of COVID-19 infection and mortality across countries: An ecological study.	Heliyon
34254029	No detection of SARS-CoV-2 in animals exposed to infected keepers: results of a COVID-19 surveillance program.	Future Sci OA
34253798	Inferring the ecological niche of bat viruses closely related to SARS-CoV-2 using phylogeographic analyses of Rhinolophus species.	Sci Rep
34253558	Work-related and personal predictors of COVID-19 transmission: evidence from the UK and USA.	J Epidemiol Community Health
34252782	"The existence, spread, and strategies for environmental monitoring and control of SARS-CoV-2 in environmental media."	Sci Total Environ
34250513	Transmission of infectious viruses in the natural setting at human-animal interface.	Curr Res Virol Sci
34250347	CFD Simulation of the Airborne Transmission of COVID-19 Vectors Emitted during Respiratory Mechanisms: Revisiting the Concept of Safe Distance.	ACS Omega
34250128	Coronavirus disease 2019 in pregnancy: Maternal and perinatal outcome.	J Educ Health Promot
34250107	Evaluation of clinical outcomes of neonates born to mothers with coronavirus (COVID-19) in Shahid Beheshti Hospitals.	J Educ Health Promot
34249965	The Significance of Duration of Exposure and Circulation of Fresh Air in SARS-CoV-2 Transmission Among Healthcare Workers.	Front Med (Lausanne)
34249953	"Estimating the Prevalence of Asymptomatic COVID-19 Cases and Their Contribution in Transmission - Using Henan Province, China, as an Example."	Front Med (Lausanne)
34249495	Forecasting the COVID-19 transmission in Italy based on the minimum spanning tree of dynamic region network.	PeerJ
34249287	"Aspects of Epidemiology, Pathology, Virology, Immunology, Transmission, Prevention, Prognosis, Diagnosis, and Treatment of COVID-19 Pandemic: A Narrative Review."	Int J Prev Med
34248448	Transmission trend of the COVID-19 pandemic predicted by dendritic neural regression.	Appl Soft Comput
34248325	"Droplet fate, efficacy of face mask, and transmission of virus-laden droplets inside a conference room."	Phys Fluids (1994)
34248221	Viral transmission and evolution dynamics of SARS-CoV-2 in shipboard quarantine.	Bull World Health Organ
34247208	Persistence and distribution of SARS-CoV-2 in the aerosol and on the surfaces.	Clin Ter
34246638	"COVID-19 in Asia: Transmission factors, re-opening policies, and vaccination simulation."	Environ Res
34245806	Are medical procedures that induce coughing or involve respiratory suctioning associated with increased generation of aerosols and risk of SARS-CoV-2 infection? A rapid systematic review.	J Hosp Infect
34245557	COVID-19 in the Czech Republic 2020: probable transmission of the coronavirus SARS-CoV-2.	Cent Eur J Public Health
34244943	Interaction between meteorological parameters and COVID-19: an ecological study on 406 authorities of the UK.	Environ Sci Pollut Res Int
34244941	The current reproduction number of COVID-19 in Saudi Arabia: is the disease controlled?	Environ Sci Pollut Res Int
34240259	Lack of evidence for infectious SARS-CoV-2 in feces and sewage.	Eur J Clin Microbiol Infect Dis
34239886	SARS-CoV-2 Viral Shedding and Transmission Dynamics: Implications of WHO COVID-19 Discharge Guidelines.	Front Med (Lausanne)
34239378	Gastrointestinal Manifestations of COVID-19: A Review of What We Know.	Ochsner J
34238978	Quantifying superspreading for COVID-19 using Poisson mixture distributions.	Sci Rep
34237771	After the pandemic: perspectives on the future trajectory of COVID-19.	Nature
34237267	"Mammals, wildlife trade, and the next global pandemic."	Curr Biol
34237051	COVID-19 in schools: Mitigating classroom clusters in the context of variable transmission.	PLoS Comput Biol
34235420	Could fighting airborne transmission be the next line of defence against COVID-19 spread?	City Environ Interact
34234623	COVID-19 and environmental concerns: A rapid review.	Renew Sustain Energy Rev
34234167	"Genomic epidemiology of SARS-CoV-2 in the UAE reveals novel virus mutation, patterns of co-infection and tissue specific host immune response."	Sci Rep
34234119	The molecular basis for SARS-CoV-2 binding to dog ACE2.	Nat Commun
34234001	Passive and active immunity in infants born to mothers with SARS-CoV-2 infection during pregnancy: prospective cohort study.	BMJ Open
34233075	The clinical characteristics of pediatric coronavirus disease 2019 in 2020 in Japan.	Pediatr Int
34232457	Perinatal transmission of SARS-CoV-2 and transfer of maternal IgG/neutralizing anti-SARS-CoV-2 antibodies from mothers with asymptomatic infection during pregnancy.	Infection
34231315	Post COVID-19: a solution scan of options for preventing future zoonotic epidemics.	Biol Rev Camb Philos Soc
34230913	Risks posed by SARS-CoV-2 to North American bats during winter fieldwork.	Conserv Sci Pract
34230799	Angiotensin-converting enzyme 2 gene expression in human male urological tissues: implications for pathogenesis and virus transmission pathways.	Afr J Urol
34230756	Spatial network based model forecasting transmission and control of COVID-19.	Physica A
34230733	Modeling and optimal control analysis of COVID-19: Case studies from Italy and Spain.	Math Methods Appl Sci
34230672	A Continuous Model of Three Scenarios of the Infection Process with Delayed Immune Response Factors.	Biophysics (Oxf)
34230585	First molecular-based detection of SARS-CoV-2 virus in the field-collected houseflies.	Sci Rep
34230530	"Children's role in the COVID-19 pandemic: a systematic review of early surveillance data on susceptibility, severity, and transmissibility."	Sci Rep
34197816	From the environment to the cells: An overview on pivotal factors which affect spreading and infection in COVID-19 pandemic.	Environ Res
34197265	Comparison of SARS-CoV-2 Variants of Concern 202012/01 (U.K. Variant) and D614G Variant Transmission by Different Routes in Syrian Hamsters.	Vector Borne Zoonotic Dis
34193809	Effects of Infection with SARS-CoV-2 on the Male and Female Reproductive Systems: A Review.	Med Sci Monit
34193390	Role of SARS-CoV-2 and ACE2 variations in COVID-19.	Biomed J
34193337	"Patterns of Virus Exposure and Presumed Household Transmission among Persons with Coronavirus Disease, United States, January-April 2020."	Emerg Infect Dis
34193334	"Estimating the Impact of Statewide Policies to Reduce Spread of Severe Acute Respiratory Syndrome Coronavirus 2 in Real Time, Colorado, USA."	Emerg Infect Dis
34192736	Untangling introductions and persistence in COVID-19 resurgence in Europe.	Nature
34192345	Spatial dynamics of pathogen transmission in communally roosting species: Impacts of changing habitats on bat-virus dynamics.	J Anim Ecol
34192279	Human Coronavirus Infections and Pregnancy.	Matern Fetal Med
34192228	Weather variability and transmissibility of COVID-19: a time series analysis based on effective reproductive number.	Exp Results
34192220	COVID-19 in pregnancy.	Glob Reprod Health
34192204	Excretion of SARS-CoV-2 in breast milk: a single-centre observational study.	BMJ Paediatr Open
34192201	Understanding COVID-19: are children the key?	BMJ Paediatr Open
34192197	SARS-CoV-2 transmissions in students and teachers: seroprevalence follow-up study in a German secondary school in November and December 2020.	BMJ Paediatr Open
34192182	COVID-19 in pregnancy: the foetal perspective-a systematic review.	BMJ Paediatr Open
34192181	Infection and transmission of COVID-19 among students and teachers in schools in Japan after the reopening in June 2020.	BMJ Paediatr Open
34192177	Management of infants born to mothers with SARS-CoV2 infection: a prospective observational study.	BMJ Paediatr Open
34192156	SARS-CoV-2 RNA and antibodies in tear fluid.	BMJ Open Ophthalmol
34192147	Visualizing the Network Structure of COVID-19 in Singapore.	Socius
34192125	Longitudinal Monitoring of SARS-CoV-2 RNA on High-Touch Surfaces in a Community Setting.	Environ Sci Technol Lett
34192104	Modelling Strong Control Measures for Epidemic Propagation With Networks-A COVID-19 Case Study.	IEEE Access
34192009	Danger zone assessment in small-sided recreational football: providing data for consideration in relation to COVID-19 transmission.	BMJ Open Sport Exerc Med
34191993	The impact of human mobility networks on the global spread of COVID-19.	J Complex Netw
