Case Report,Diagnosis,Epidemic Forecasting,Mechanism,Prevention,Transmission,Treatment,pmid
0,1,0,0,0,0,1,32631458
0,0,0,0,1,0,0,32965401
0,0,0,0,1,0,0,32476163
0,0,1,1,0,0,1,32433946
0,0,0,0,0,0,1,32972430
0,0,0,0,1,0,0,32358853
0,0,0,0,1,0,0,32940326
0,0,0,1,0,0,1,32422146
0,0,0,0,0,0,1,32780300
0,0,0,0,1,0,0,32368252
0,0,0,0,1,1,0,33500682
0,1,0,1,0,0,1,32902367
0,0,0,0,1,0,0,32489248
0,0,0,0,1,0,0,32837391
0,0,0,0,1,0,0,32833273
0,1,0,0,0,0,0,32395897
0,0,0,1,0,0,1,32764454
0,1,0,0,0,1,0,32904469
0,0,0,0,1,0,0,32796237
0,0,0,0,1,0,0,32963632
0,0,0,0,1,1,0,33115683
1,0,0,0,0,0,0,32868974
1,0,0,0,0,0,0,32963961
0,0,0,0,0,0,1,32883328
0,0,1,0,1,0,0,32679861
0,1,0,1,0,0,1,32984768
1,0,0,0,0,0,0,32780853
0,0,0,0,0,0,1,32804279
0,0,0,0,1,0,0,32821441
0,0,0,0,0,1,0,32689956
0,0,0,1,0,0,1,32293875
0,1,0,1,0,0,0,32247212
1,0,0,0,0,0,0,32670785
0,1,0,0,0,0,0,32677821
0,0,0,0,0,0,1,32935331
0,0,0,0,1,0,0,33054671
0,1,0,0,0,0,1,32974210
0,1,0,0,0,0,0,32753516
0,0,0,0,1,0,0,32836361
0,0,0,0,1,0,0,32457027
0,1,0,0,1,0,1,32782044
0,0,0,0,0,0,1,32108359
0,0,1,0,0,0,0,32288415
1,0,0,0,0,0,0,33062489
0,0,0,0,1,0,0,32925566
0,0,0,1,0,1,0,32592038
0,0,0,0,1,0,0,33038926
0,0,0,0,0,0,1,32401611
0,0,0,0,1,0,0,32938502
0,0,0,1,0,0,1,32196707
0,1,0,0,0,0,0,33022019
0,0,0,0,1,0,0,32880329
0,0,0,0,1,1,0,32575016
0,0,0,0,0,0,1,32744917
0,0,0,0,1,0,0,32488422
0,1,0,0,0,0,0,32725148
0,0,0,0,0,0,1,32526698
0,0,0,0,1,0,0,33020395
0,0,0,0,0,1,0,33897242
0,0,0,0,1,0,0,32598096
0,0,0,0,1,0,0,32342164
0,0,0,1,0,0,1,32374537
0,0,0,0,1,0,0,33017835
0,0,0,0,1,0,0,32929416
0,0,0,0,0,0,1,32319200
0,0,0,1,0,0,1,32998157
1,0,0,0,0,0,0,32938656
0,0,0,1,0,0,1,32550069
0,0,0,0,1,0,0,32404205
0,0,0,0,1,0,0,32682653
0,0,0,0,1,0,0,32536750
0,1,0,0,0,0,0,32582748
0,0,0,0,1,0,0,32292815
0,0,0,0,1,0,0,33072837
0,0,0,0,1,0,0,32433100
0,1,0,0,0,0,1,32874203
0,0,1,0,1,0,0,33184338
0,0,0,0,0,0,1,32768693
0,0,0,1,0,0,0,33052496
0,0,0,0,1,0,0,33023743
0,0,0,0,0,0,1,32838283
0,1,0,0,1,0,0,33015681
0,1,0,1,0,0,1,33038433
0,0,0,1,0,0,1,33077403
0,0,0,0,1,0,0,32834373
0,0,1,0,1,0,0,34273292
0,0,0,0,1,0,0,32402928
0,1,0,1,0,0,1,32990479
0,0,0,0,1,0,0,33036052
0,0,0,0,1,0,0,32956730
0,0,0,0,1,0,0,32879099
0,0,1,1,0,0,0,33747543
0,1,0,1,0,0,1,32930456
0,0,0,0,0,0,1,32805422
0,0,0,0,1,0,0,32830167
0,1,0,0,0,0,0,32866812
0,0,0,1,0,0,1,32359396
0,0,0,0,0,1,0,33561448
1,0,0,0,0,0,0,32638022
0,1,0,0,0,0,1,32549297
0,0,0,0,1,0,0,32910692
0,1,0,0,0,0,1,33004167
0,0,0,0,1,0,1,32600107
0,0,1,0,1,0,0,32341718
0,0,0,1,0,0,1,32929317
0,0,0,0,1,0,0,32576057
0,1,0,0,0,0,0,32820210
0,0,0,0,1,0,0,32909834
0,1,0,1,0,1,1,33158234
0,0,0,0,1,0,0,33058485
1,0,0,0,0,0,0,32520514
0,1,0,0,0,0,1,32483458
0,0,0,0,1,0,0,32364809
1,0,0,0,0,0,0,32984835
0,0,0,0,1,0,0,33016772
0,0,0,0,0,0,1,32841342
0,0,0,0,1,0,0,32926250
0,0,0,0,1,0,0,32921738
0,1,1,0,0,0,0,34026472
0,0,0,0,1,0,0,32837977
0,0,0,0,1,0,0,32797094
0,0,0,0,1,0,0,32815845
0,0,1,0,0,0,0,33499219
0,0,0,1,0,0,1,32882331
0,1,0,0,0,0,0,32771222
0,1,0,0,0,0,1,32665398
0,1,0,1,1,0,1,32090448
0,0,0,0,1,0,1,32778622
0,0,0,0,1,0,0,32468229
0,0,0,0,1,0,0,32837046
0,1,0,0,0,0,1,33062333
0,0,0,0,1,0,0,32497852
1,0,0,0,0,0,0,32681166
0,0,0,1,0,0,1,32708755
0,1,0,0,0,0,1,32983456
0,1,0,0,0,0,0,32702365
0,0,0,0,0,1,0,33496222
0,1,0,0,0,0,1,32757404
0,0,0,0,1,0,0,32838328
0,0,0,0,1,0,0,32834559
0,0,0,0,1,1,0,33282625
0,0,0,0,1,1,0,32408911
0,0,0,0,1,1,0,33792808
0,0,0,0,1,0,0,32989416
0,0,0,0,1,0,0,32607352
0,0,0,1,0,0,1,32561465
0,0,0,0,1,0,0,32208140
0,0,0,0,1,0,0,32802824
0,0,0,0,1,0,0,32750004
0,0,0,0,1,0,0,32458760
0,0,0,0,1,1,0,33727636
0,0,0,0,1,0,0,32474101
0,0,0,1,0,1,0,32145216
0,0,0,0,0,0,1,32693436
0,0,0,0,1,0,1,32623296
0,0,1,0,1,0,0,34129512
0,0,0,1,0,0,1,32691875
0,0,0,0,0,0,1,33023033
0,1,0,0,0,0,1,32911619
0,1,0,0,0,0,1,32987902
0,0,0,0,1,0,0,32952468
0,0,0,0,1,0,0,32696908
0,0,0,0,1,0,0,32947252
0,1,0,0,0,0,1,32472675
0,0,0,1,0,0,1,32991323
0,0,0,0,1,0,0,32880332
0,0,0,0,1,0,0,32711687
0,1,0,0,0,0,1,32922211
0,0,0,0,0,0,1,32963563
1,0,0,0,0,0,0,32878841
0,0,0,0,1,0,0,32961081
0,1,0,0,0,0,1,32363045
0,0,1,0,1,0,0,33522669
0,0,0,0,1,0,0,32980768
0,0,0,0,1,1,0,34237267
0,0,0,0,1,0,0,32818515
0,1,0,0,0,0,1,32986248
0,0,0,0,1,0,0,32502958
1,0,0,0,0,0,0,32458044
0,0,0,0,1,0,0,32879114
0,1,0,0,0,0,0,32708803
0,1,0,0,0,0,1,32741802
0,0,0,0,1,0,0,32513429
0,0,0,0,1,0,0,32563080
0,0,0,0,1,0,0,32775943
0,0,0,1,0,0,1,32896566
0,1,0,1,0,0,1,33013675
0,0,0,0,1,0,0,32730366
0,0,0,0,1,1,0,32977848
0,0,0,0,1,0,0,33078135
0,0,0,1,0,0,0,32349035
0,0,0,1,0,1,0,32818801
0,0,1,0,1,0,0,34149970
0,0,0,0,1,0,0,32409839
0,0,0,0,1,0,0,32975134
0,0,0,0,1,1,0,33182015
0,0,0,0,1,0,1,32586933
1,0,0,0,0,0,0,32837878
0,0,0,0,1,0,0,32836446
1,0,0,0,0,0,0,32474657
0,1,0,0,0,0,1,32539446
1,0,0,0,0,0,0,32983891
0,0,0,0,1,1,0,32392129
0,0,0,0,1,0,0,32289260
0,1,0,1,0,0,0,32302675
0,0,1,0,1,0,0,34306169
0,0,0,0,1,0,0,32551776
0,0,0,0,1,0,0,32296826
0,0,0,0,1,0,0,32648280
1,0,0,0,0,0,0,32770414
0,0,0,0,1,0,0,32891414
0,0,0,0,1,0,0,33039215
0,1,0,1,0,0,0,32673476
0,1,0,0,0,0,0,33747260
0,1,0,0,0,0,0,32416289
1,0,0,0,0,0,0,32952393
0,0,0,1,0,0,1,33014780
0,0,0,1,0,0,1,32961440
0,1,0,0,1,1,0,33152271
0,0,0,0,1,0,0,32672917
0,1,0,0,0,0,1,32618665
0,0,0,0,1,0,0,33043106
0,0,0,0,1,0,0,32736887
0,0,0,0,1,0,0,32776515
0,0,0,0,1,0,0,32443430
0,0,0,0,0,0,1,32887954
0,0,1,0,1,0,0,32629121
0,0,0,0,1,0,0,32563514
0,1,0,0,0,0,1,32674450
0,0,0,1,0,0,1,32526206
0,1,0,0,0,0,1,32859866
0,0,1,0,0,0,0,33951962
0,0,0,0,0,1,0,33263060
0,1,0,0,0,0,1,32964205
0,0,0,1,0,0,0,32568027
0,0,0,0,1,1,0,34322402
0,1,0,1,0,0,1,32729463
0,0,0,0,0,0,1,33001008
0,0,0,1,0,0,1,32423664
0,1,0,0,0,0,1,33019984
0,0,0,1,0,1,0,34328074
1,0,0,0,0,0,0,33009361
0,0,0,1,0,0,1,32556101
0,0,0,0,1,0,1,32782815
0,0,0,0,1,0,0,33009166
0,0,0,0,1,0,0,33043842
0,0,0,0,1,0,0,32970710
0,0,0,0,0,0,1,32516839
0,0,0,1,0,0,1,32425013
0,1,0,0,1,0,0,32819125
0,0,1,0,0,0,1,32536734
0,1,0,0,0,0,1,32344320
0,0,0,0,1,0,0,32936947
0,1,0,1,0,0,1,32728817
0,0,0,0,1,0,0,32835346
1,0,0,0,0,0,0,32275347
0,0,0,0,1,0,0,32702389
0,1,0,1,0,0,1,33069383
0,1,0,0,0,0,0,32774118
0,0,0,1,0,0,1,32445872
0,0,0,1,0,0,1,32552462
0,0,0,0,0,0,1,32312600
0,1,0,0,1,0,1,32782814
0,0,0,1,0,1,0,33469026
0,0,0,0,0,0,1,33008327
0,0,0,0,1,0,0,32513593
0,0,0,0,1,0,0,32680760
0,1,0,0,0,0,1,33008459
0,1,0,0,0,0,0,32408222
0,0,0,0,1,0,0,32525826
0,0,0,0,1,0,0,32940711
0,0,0,1,0,0,0,32215613
0,1,0,0,1,0,0,32544861
0,1,0,0,0,0,1,32526083
0,0,0,1,0,0,1,32586628
1,0,0,0,0,0,0,33024561
0,0,0,1,0,0,1,32344056
0,1,0,0,0,0,1,32923449
0,1,0,0,0,0,1,32876113
0,0,0,0,0,0,1,32663348
0,0,0,0,1,0,0,32587103
0,0,0,0,1,0,0,33042359
0,0,0,0,1,0,0,32834926
0,0,0,0,1,0,0,32362498
0,1,0,0,0,0,0,32729549
0,0,0,0,0,0,1,33048372
0,1,0,0,0,0,0,32335426
0,0,1,0,0,1,0,32053479
1,0,0,0,0,0,0,32204755
0,0,0,0,0,1,0,32330112
0,0,0,0,1,0,0,32653930
0,0,0,0,1,1,0,34252782
0,0,0,0,1,0,0,32191691
0,0,0,0,0,0,1,32321905
0,0,0,1,0,1,0,33885726
0,0,0,1,0,0,1,32718086
0,0,0,0,1,0,0,32874860
0,1,0,0,0,0,1,32918975
0,0,0,1,0,0,1,32454103
0,0,0,0,0,0,1,32393597
0,0,0,0,1,0,0,32875281
0,0,0,0,1,0,0,32377596
0,1,0,0,0,0,0,32674034
0,0,0,1,0,0,1,32948238
0,0,0,0,1,0,0,33052155
0,1,0,0,0,1,1,33480020
0,0,0,1,0,0,1,32933536
0,1,0,0,0,1,1,33312022
0,0,0,0,0,0,1,32880819
0,1,0,0,0,1,1,32336042
0,0,0,0,0,0,1,32837091
0,1,0,0,0,0,0,32840002
0,0,0,1,0,1,0,33649547
0,0,0,0,1,0,0,32781912
0,0,0,0,1,0,0,32389755
0,0,0,0,0,0,1,32632766
0,0,0,0,1,0,0,32781163
0,1,0,0,0,0,1,32343745
0,0,0,0,1,0,0,32304970
0,0,0,0,1,0,0,32532983
0,0,0,0,1,0,0,32860621
0,0,0,0,1,0,0,32904910
0,0,0,1,0,0,1,32531256
0,0,0,0,1,1,0,32152361
0,1,0,0,0,0,0,33024174
0,1,0,0,0,0,0,32588051
0,0,1,0,1,0,0,33402754
0,1,0,1,0,0,1,32901413
0,1,0,0,0,0,1,32978251
0,0,0,1,0,0,1,32549125
0,0,0,0,1,0,0,32278074
0,0,0,1,0,0,1,32854433
0,0,0,0,1,1,0,34173544
0,0,0,0,0,0,1,32839921
0,1,0,0,0,0,0,32750973
0,0,0,1,0,0,1,32850499
0,0,0,0,0,0,1,32322486
0,0,0,0,1,0,0,32676459
0,0,0,0,1,0,0,33006886
0,1,0,0,1,0,1,32870407
0,0,0,0,1,0,0,32836886
0,0,0,1,0,1,0,32022275
0,0,0,1,0,1,1,33900692
0,1,0,0,0,0,0,32474632
0,0,0,0,1,0,0,32809274
0,0,0,0,1,0,0,32444504
0,0,0,1,0,0,1,32721790
1,0,0,0,0,0,0,32921747
0,0,0,1,0,0,1,32731361
0,0,0,0,1,0,0,32936773
0,1,0,0,1,0,0,32733782
0,1,0,0,0,0,0,32543756
0,1,0,0,1,1,0,33142840
1,0,0,0,0,0,0,32889184
0,0,0,0,1,0,0,32582614
0,0,0,0,1,0,0,32360230
0,1,0,1,0,0,0,32087623
0,0,0,0,1,0,0,32845460
0,1,0,1,0,0,1,32958614
0,0,0,1,0,0,0,32518817
0,0,1,0,0,0,0,32404043
0,0,0,0,1,1,0,32574232
0,0,0,0,1,0,0,32639569
0,0,0,0,1,0,0,32591747
0,0,0,0,0,0,1,32425691
1,0,0,0,0,0,0,32352913
0,1,0,0,0,0,0,32388471
0,0,0,0,1,0,0,32778168
0,0,0,0,1,0,0,33006070
1,0,0,0,0,0,0,32911957
0,0,1,0,1,0,0,34035086
0,0,0,0,1,0,0,32993736
0,0,0,0,0,0,1,32860038
0,0,0,0,1,0,0,32538025
0,0,0,1,0,0,1,32545714
0,0,0,0,1,0,0,33020342
0,0,0,0,0,0,1,32515339
1,0,0,0,0,0,0,32632380
0,0,0,0,1,0,0,32679348
0,0,0,0,1,0,0,32333619
0,0,0,0,1,0,0,32769754
0,0,0,1,0,0,0,32622243
0,0,0,0,1,0,0,32525384
0,0,0,1,0,0,1,32443911
0,0,0,0,0,0,1,32657436
0,1,0,0,0,0,0,32958531
0,0,0,1,0,0,1,32743211
0,0,0,0,1,0,0,32500416
0,0,0,1,0,0,0,33069705
0,0,0,0,1,0,0,32287518
1,0,0,0,0,0,0,33068195
0,0,0,0,0,1,0,32238084
0,0,0,1,0,1,0,33971305
0,0,0,1,0,0,0,32199615
0,1,0,0,0,0,0,32451564
0,1,0,0,1,1,0,34258053
0,0,0,1,0,1,0,32154135
0,1,0,1,0,0,1,33061507
0,0,0,0,1,0,0,32470605
0,0,0,0,0,0,1,32856432
1,0,0,0,0,0,0,33072509
0,0,0,0,1,0,0,33053062
0,0,0,0,1,0,0,32860393
0,1,0,0,0,0,0,32631626
0,0,0,1,0,1,0,33325750
0,0,0,0,1,0,0,32419495
0,1,0,0,0,0,1,33062451
0,1,0,0,1,1,0,33262205
0,0,0,0,0,0,1,32804502
0,0,0,1,0,0,1,33035434
0,1,0,1,0,0,1,32678428
0,1,0,0,0,0,1,32471001
0,1,0,0,0,0,1,32880993
0,1,0,0,0,0,0,32692945
0,0,0,0,1,0,0,32798093
0,0,0,0,1,0,0,33829212
0,1,0,0,0,0,0,32568543
0,0,0,0,0,0,1,32161092
0,1,0,0,0,0,1,32963018
0,0,0,0,0,0,1,33003177
0,1,0,0,0,1,0,34185847
1,0,0,0,0,0,0,32398268
0,0,0,0,1,0,0,32536763
1,0,0,0,0,0,0,32790652
0,1,0,0,0,0,1,32561401
0,0,0,0,0,0,1,32730103
0,1,0,0,0,0,1,32353223
0,0,0,0,1,0,0,32610729
0,1,0,0,1,0,1,32311668
0,0,0,0,1,0,0,33063785
0,0,0,0,0,0,1,33045596
0,0,0,1,0,0,1,32734714
0,0,1,0,1,0,0,32304973
0,0,0,0,1,0,1,32723435
0,1,0,0,0,0,0,33025798
0,0,0,1,0,0,1,32438620
1,0,0,0,0,0,0,32958554
0,1,0,0,0,0,1,32919796
0,1,0,0,0,0,1,32754114
0,0,0,0,1,0,0,32464657
1,0,0,0,0,0,0,32111449
0,1,0,0,0,0,0,32546849
0,0,0,0,0,0,1,32691000
0,0,0,0,1,0,0,32391411
0,0,0,0,1,0,0,32353457
0,1,0,0,0,0,1,33069986
0,0,1,0,0,0,0,32183935
0,0,0,0,1,0,0,32705880
0,0,0,0,1,0,0,32965663
0,1,0,1,0,0,0,32505692
0,0,0,1,0,1,0,34075253
0,0,0,0,0,0,1,32794132
0,0,0,1,0,0,0,32181901
0,0,0,0,1,0,0,32817399
0,0,0,1,0,0,1,33007416
0,0,0,1,0,0,1,32673355
0,0,1,0,0,0,0,32355547
0,0,0,0,1,0,1,32727941
0,0,1,0,0,0,0,33747069
0,1,0,0,0,0,1,32871592
0,0,0,0,1,0,0,32781952
0,0,0,0,1,0,0,32538812
0,0,0,1,0,0,0,32035431
0,0,0,0,1,0,0,32329920
0,0,0,0,1,0,0,32618332
0,0,0,0,0,0,1,32634818
0,0,0,0,1,0,0,32876925
0,0,0,0,1,0,0,32879554
0,1,0,0,0,0,1,32412510
0,1,0,1,1,0,1,32823901
0,0,0,0,1,0,0,32316857
0,0,0,0,1,0,0,33058536
0,1,0,0,0,1,0,33599407
0,1,0,0,0,0,0,32970352
0,1,0,0,0,0,1,32873235
0,0,0,1,0,0,1,32799761
0,1,0,0,0,0,1,32970757
0,0,0,0,1,0,0,32525695
0,0,0,0,1,0,0,32333961
0,0,0,0,1,0,0,32592903
0,1,0,0,0,0,0,32894969
0,0,0,1,0,0,1,32472706
0,0,0,0,0,0,1,32674818
1,0,0,0,0,0,0,32714821
0,0,0,0,0,0,1,32336673
0,0,0,1,0,0,1,32930458
0,0,0,0,1,0,0,32639852
0,0,0,1,0,1,0,33567580
0,0,0,0,1,1,0,33617579
0,0,0,0,1,1,0,33101885
0,1,0,0,1,1,0,33870248
0,1,0,0,0,0,0,32441935
0,1,0,0,0,0,1,32354634
0,0,0,0,1,0,0,32815509
0,0,0,0,1,0,0,32531948
0,0,0,1,0,0,1,32463026
0,1,0,1,0,0,1,32935928
0,0,1,0,1,0,0,34400735
0,0,0,0,1,0,0,33002530
1,0,0,0,0,0,0,32639461
0,1,0,0,0,0,1,32932327
0,0,0,0,1,0,0,32392172
0,0,0,0,1,0,0,32405882
0,0,0,0,0,0,1,32446311
0,1,1,0,0,0,0,33757468
0,1,0,0,0,0,0,32349032
0,1,0,1,0,0,0,32727176
0,0,0,0,1,0,0,32602812
0,1,0,0,0,0,1,32863339
0,0,0,1,0,1,0,33175551
1,0,0,0,0,0,0,32636116
0,0,0,1,0,0,1,32225175
0,0,0,0,1,0,0,32921586
0,0,0,0,1,0,0,32914831
0,1,0,0,0,0,0,32984785
0,0,0,0,0,0,1,33050945
0,0,0,0,1,0,0,32382154
0,1,0,0,1,0,0,33047077
0,0,1,0,1,0,0,32970716
0,0,0,0,1,0,0,32991966
0,0,0,0,1,1,0,32624650
0,0,0,0,1,0,0,32914471
0,0,0,0,1,0,0,32501313
0,0,0,0,0,0,1,32687949
0,0,0,0,1,0,0,32290901
0,1,0,1,0,0,0,33070314
0,0,0,1,0,0,1,32636240
0,0,0,1,0,0,1,32717346
0,0,0,0,1,0,0,32507686
0,1,0,1,0,0,0,32579012
0,1,0,0,0,0,1,32730233
0,0,0,0,1,0,0,32828864
0,0,0,0,1,0,1,32970923
0,0,0,0,1,0,0,32840071
0,0,0,0,1,0,0,32931177
0,0,0,0,1,0,0,32314460
0,0,0,0,1,0,1,32722757
0,0,0,0,1,0,0,33048827
0,1,0,0,0,0,1,33023989
0,1,0,0,0,0,0,32738298
0,0,0,0,1,0,0,32587158
0,0,0,0,0,1,0,33402047
0,0,0,0,1,1,0,33722466
0,0,0,0,1,0,0,32472685
0,0,0,0,1,0,0,32431291
0,0,0,0,0,1,0,34069409
0,0,0,0,1,0,0,32914175
0,1,0,0,1,1,0,32496407
0,0,0,0,1,0,0,32571690
0,0,0,0,1,0,0,32911282
0,1,0,0,0,0,1,32965502
0,0,0,0,1,0,0,32766427
0,1,0,0,0,0,0,32853434
0,0,0,0,0,1,0,33552378
0,0,0,0,1,1,0,32893532
0,1,0,0,0,0,1,32876196
0,0,0,1,0,0,1,32597377
0,1,0,0,1,1,0,33637076
0,1,0,0,0,0,1,32366131
0,0,0,0,1,0,0,32452940
0,0,0,0,1,0,0,32596902
0,0,0,0,1,0,0,32335404
0,1,0,0,0,0,1,33044601
0,1,0,0,0,0,1,33060835
0,0,0,0,1,0,0,32374289
0,0,0,0,1,0,0,32352309
0,0,0,0,1,0,0,32670595
0,0,0,1,0,1,0,33020722
0,0,0,1,0,0,0,32742818
0,0,0,0,1,0,0,32340627
0,0,0,0,0,0,1,32350928
0,0,0,0,1,0,1,32709482
0,0,0,0,1,0,0,33064641
0,0,0,1,0,0,1,32985211
0,0,0,0,1,0,0,32237998
0,1,0,0,0,0,0,32681280
0,1,0,0,0,0,1,32653054
1,0,0,0,0,0,0,32835279
0,0,0,0,1,0,0,32485959
0,0,0,1,0,0,1,33023856
0,1,0,0,0,0,1,32680422
0,0,0,0,1,0,0,32829052
0,0,0,0,1,0,0,32995855
0,1,0,0,0,0,1,32805057
0,0,0,1,0,0,1,32651218
0,0,0,0,1,0,0,33034267
0,1,0,0,0,0,1,32847728
0,0,0,1,0,0,1,32981925
0,0,0,0,0,1,0,33043367
0,0,0,0,1,0,0,32303090
0,0,0,0,1,0,0,33023853
0,0,0,1,0,0,0,32833204
0,0,0,0,1,0,0,32583216
0,1,0,0,0,1,0,33557147
0,0,0,0,1,0,0,32371055
0,0,0,0,1,0,0,32962462
0,1,0,0,0,0,1,33042873
0,0,1,0,1,0,0,32982078
0,0,0,0,1,0,0,32925656
0,0,0,0,1,0,0,32604457
0,0,0,0,1,0,0,32654885
0,1,0,0,0,0,0,32679910
0,0,0,1,0,0,1,32358203
0,0,0,0,1,0,0,32888855
0,1,0,0,0,0,0,32479412
0,1,0,0,0,0,0,32979740
0,0,0,0,0,0,1,32675717
0,0,0,0,0,0,1,32087334
0,0,0,1,0,0,1,32707842
0,0,0,0,1,0,0,32198989
0,1,0,0,1,0,0,32723453
0,0,0,0,1,0,0,32587845
0,0,0,0,1,0,0,32848486
0,0,0,0,0,0,1,32312714
0,0,0,0,1,0,0,32861536
1,0,0,0,0,0,0,32595812
0,0,0,0,1,0,0,32538815
0,0,0,0,1,0,0,32515399
0,0,0,0,1,0,0,32289123
0,0,0,0,1,0,0,32538659
0,0,0,1,0,0,1,32781672
0,0,0,0,1,1,0,33531384
0,0,0,1,1,0,1,32811354
0,0,0,1,0,0,1,32511912
0,0,0,0,1,0,0,32834886
1,0,0,0,0,0,0,32307298
0,0,0,0,0,0,1,32590819
0,0,0,0,1,0,0,32845008
0,1,0,0,0,0,1,32629788
0,1,0,0,0,0,0,32434310
